axis,change_percent,created_at,id,is_emergent,keyword,search_index,snapshot_date
emergentes,-100,2026-07-25T06:00:06.169585+00:00,00037e8a-567a-4dd5-a551-8869152f7870,False,vírus nipah,0,2026-07-25
alimentacao,0,2026-04-23T06:00:05.616249+00:00,000497d2-bad8-4366-be96-d844dfa797dd,False,ultraprocessados,1,2026-04-23
alimentacao,0,2026-06-05T06:00:05.96236+00:00,0008059c-c59a-497b-885c-d1d19a106647,False,intolerância à lactose,1,2026-06-05
menopausa,25.7,2026-07-17T06:00:07.853091+00:00,00085abd-9ae3-4d39-bf03-ae83869cd201,False,menopausa sintomas,44,2026-07-17
emergentes,-100,2026-05-03T06:00:07.93598+00:00,00148af9-7281-4ae2-a4e9-23e1733f4547,False,resistência antibióticos,0,2026-05-03
emergentes,18.2,2026-06-17T06:00:12.102586+00:00,001648bf-bab2-4146-bfb5-752036055985,False,sepsis,26,2026-06-17
alimentacao,-5,2026-05-19T06:00:05.412919+00:00,00165767-55c3-4a23-94b3-945e14d0ad10,False,anemia,38,2026-05-19
saude-mental,0,2026-05-08T06:00:07.737502+00:00,001b3f60-68e0-408a-b948-20bbc396cb6c,False,depressão,4,2026-05-08
saude-mental,-100,2026-07-21T06:00:03.646291+00:00,0021309e-c38f-48be-a6bc-2fb58c2a05c2,False,reabilitação psicossocial,0,2026-07-21
emergentes,-100,2026-07-17T06:00:07.853091+00:00,00240d09-da83-4ef9-b337-d977ef9c47c3,False,vírus nipah,0,2026-07-17
alimentacao,0,2026-03-29T06:00:16.184714+00:00,0026c2ed-85b8-42c9-91c8-19924f9e9dd8,False,síndrome de intestino irritável,1,2026-03-29
saude-mental,0,2026-04-13T06:00:08.075566+00:00,00285b93-1f34-4498-ba9e-cae3b033caa7,False,dependências,1,2026-04-13
alimentacao,0,2026-05-09T06:00:06.139313+00:00,002a3824-5c5d-4b86-af2c-07dc30529b3f,False,dieta cetogénica,1,2026-05-09
alimentacao,0,2026-07-18T06:00:04.74449+00:00,00337acf-8f70-46bf-9af8-ce5b2067da47,False,alergias alimentares,1,2026-07-18
saude-mental,-5,2026-04-28T06:00:06.404448+00:00,003bae70-367a-4b61-8d8d-827d0d5a709d,False,PTSD,19,2026-04-28
emergentes,0,2026-04-23T06:00:05.616249+00:00,0042fa29-99dc-4594-9c7e-79dc21585a17,False,candida auris,1,2026-04-23
emergentes,-100,2026-07-27T06:00:05.61527+00:00,004aa337-8887-487d-8492-7acccfe60b7a,False,resistência antibióticos,0,2026-07-27
alimentacao,-100,2026-07-05T06:00:12.288052+00:00,004c7c3a-421c-41dd-88dd-035545d30e0b,False,açúcar e saúde,0,2026-07-05
saude-mental,0,2026-04-13T08:44:27.085094+00:00,005813bb-58ab-48d3-b22b-cb48d49cf52a,False,fobia social,1,2026-04-13
menopausa,-10,2026-03-20T12:57:21.477953+00:00,005ca41b-e80f-4e11-a59f-58a488f9807b,True,menopausa masculina,18,2026-03-20
saude-mental,0,2026-03-29T06:00:16.184714+00:00,00622fce-24ea-430e-ac2e-36da2bdc47ee,True,competências socioemocionais,28,2026-03-29
menopausa,24.1,2026-07-25T06:00:06.169585+00:00,006dd4d2-feab-4ea7-8613-470a2e89a357,False,secura vaginal,67,2026-07-25
menopausa,-31,2026-04-18T06:00:05.7138+00:00,006dea85-d966-42eb-b71d-fc24ff1e3c85,False,suores noturnos,29,2026-04-18
emergentes,0,2026-03-20T12:57:21.477953+00:00,00754d17-0fdc-4ad4-b11d-ef60e8f7f807,False,gripe aviária H5N1,1,2026-03-20
saude-mental,0,2026-04-17T06:00:04.619462+00:00,0075e116-c0de-478c-a84a-b0b84195b634,False,perturbações do espectro do autismo,1,2026-04-17
menopausa,-9.1,2026-06-14T06:00:07.978493+00:00,0076e0a7-0a2d-4af4-bc7b-7afe00044881,False,endometriose,30,2026-06-14
emergentes,-4.4,2026-06-25T06:00:17.127648+00:00,007a088b-be7b-40c8-baf7-0e19445d1e0e,False,avc,43,2026-06-25
alimentacao,19.5,2026-03-18T06:00:13.722029+00:00,0095dc27-9b31-412e-aeea-b0dc955e6eb0,False,diabetes tipo 2,98,2026-03-18
alimentacao,15.2,2026-03-31T06:00:19.186567+00:00,009e0b8b-1278-4e95-bc3a-d6b6e0234763,True,açúcar e saúde,38,2026-03-31
alimentacao,-100,2026-07-15T06:00:09.23992+00:00,00a03dd9-1c26-4a18-b4ed-b3e5f98496dd,False,açúcar e saúde,0,2026-07-15
alimentacao,-100,2026-05-04T06:00:06.558081+00:00,00a19162-87b0-4337-b404-01f39318e7e0,False,dieta mediterrânica,0,2026-05-04
menopausa,0,2026-07-11T06:00:08.406462+00:00,00a24b01-d1fe-4097-8ec9-6e5456e95e74,False,peso na menopausa,1,2026-07-11
menopausa,-100,2026-05-07T06:00:06.500597+00:00,00a48d9d-e770-4236-8088-73586364c239,False,fitoterapia menopausa,0,2026-05-07
emergentes,0,2026-04-15T06:00:06.34016+00:00,00ab888e-f697-48c7-b6d9-b3769930737f,False,long covid,4,2026-04-15
alimentacao,0,2026-03-17T06:00:09.157142+00:00,00bc1ec0-0e46-4763-bbab-f14d8d8ff81a,False,intolerância à lactose,1,2026-03-17
saude-mental,-12.1,2026-07-05T06:00:12.288052+00:00,00c19445-b820-4689-9118-25a66e5df6da,False,insónia,58,2026-07-05
saude-mental,0,2026-07-13T06:00:06.546425+00:00,00c78602-a071-4077-8fb2-1e089ed6eef3,False,perturbação obsessivo-compulsiva,1,2026-07-13
alimentacao,-50,2026-04-06T08:23:48.899366+00:00,00d4429d-d90f-4e5a-b229-2b851eea1895,False,síndrome de intestino irritável,1,2026-04-06
alimentacao,-5,2026-07-17T06:00:07.853091+00:00,00d6428b-3fa3-4621-b450-163fbe0304cb,False,anemia,38,2026-07-17
alimentacao,0,2026-05-09T06:00:06.139313+00:00,00d9745c-75ed-475e-96d5-a87a1e7d724e,False,alimentação plant-based,1,2026-05-09
menopausa,0,2026-07-18T06:00:04.74449+00:00,00e07c64-4078-4a01-a0a5-9969b10e2974,False,menopausa precoce,1,2026-07-18
emergentes,0,2026-05-09T06:00:06.139313+00:00,00e6e391-d224-4548-9e71-04fb7ea36212,False,sarampo surto,1,2026-05-09
saude-mental,9.5,2026-05-11T06:00:08.242216+00:00,00ec614e-d884-4a48-bfbb-039f0db13f21,False,enxaqueca,46,2026-05-11
alimentacao,-19.7,2026-04-27T06:00:05.648056+00:00,00f50963-6f46-410d-8ede-bb179ccef353,False,diabetes tipo 2,53,2026-04-27
alimentacao,-100,2026-05-17T06:00:07.983993+00:00,0115bd1a-6aea-447b-9cb1-b843b8b0a875,False,açúcar e saúde,0,2026-05-17
saude-mental,-3.8,2026-04-06T06:00:17.097404+00:00,01168bca-9da6-42d3-8b89-430f4551091b,False,enxaqueca,51,2026-04-06
saude-mental,-5,2026-06-25T06:00:17.127648+00:00,011a0dcc-73e9-4806-b8ca-183dd35eed46,False,PTSD,19,2026-06-25
alimentacao,0,2026-04-03T06:00:17.620837+00:00,011c03bb-9e10-4554-be01-9b46241f93d2,False,obesidade infantil,1,2026-04-03
menopausa,11.1,2026-04-02T06:00:20.0898+00:00,011ca16d-d194-425d-b42a-f70120e0bfc0,False,candidíase,40,2026-04-02
menopausa,0,2026-04-03T06:00:17.620837+00:00,011fc9e5-b0de-4b3b-bcb4-01a6140caea0,False,libido menopausa,1,2026-04-03
menopausa,0,2026-03-11T06:00:16.943944+00:00,01244072-94ec-4556-a42d-af22cbe37553,False,peso na menopausa,29,2026-03-11
emergentes,-25.9,2026-07-10T06:00:09.583523+00:00,01388f76-04df-4f56-8a7c-040118387df7,False,lúpus,60,2026-07-10
saude-mental,-100,2026-06-15T06:01:13.443083+00:00,0140a707-6a09-4acc-81e1-33a99b8e0401,False,reabilitação psicossocial,0,2026-06-15
menopausa,0,2026-05-20T06:00:05.551393+00:00,01416b67-4cd9-436d-b977-e1f19c7a0e56,False,peso na menopausa,1,2026-05-20
menopausa,-5.3,2026-03-09T06:00:17.446645+00:00,0141cd6a-5aca-4e3f-8dbf-62b067605f0a,False,fitoterapia menopausa,36,2026-03-09
saude-mental,-100,2026-04-16T06:00:07.198159+00:00,0145780e-2016-4644-aff3-4a89bd1368ce,False,TDAH adulto,0,2026-04-16
saude-mental,-7.7,2026-07-02T06:00:13.247948+00:00,014619f8-ce10-45d8-8e65-c4ae007c31be,False,stress,24,2026-07-02
menopausa,0,2026-04-26T06:00:06.45063+00:00,014bf637-7512-4d6b-b509-8f14b8f5476f,False,terapia hormonal,1,2026-04-26
saude-mental,-3.7,2026-05-17T06:00:07.983993+00:00,014e26f9-6b64-41f3-a4e2-457b37537b50,False,burnout,26,2026-05-17
alimentacao,0,2026-04-09T06:00:10.350637+00:00,0152ea12-e2cf-4893-8127-c37336db1397,False,obesidade infantil,1,2026-04-09
menopausa,-100,2026-07-19T06:00:06.102924+00:00,0159a251-33d5-4458-90d4-0638af8b5054,False,síndrome do ovário poliquístico,0,2026-07-19
saude-mental,3.8,2026-03-31T06:00:19.186567+00:00,0159abb9-bae4-49a4-b338-d51edaec5d6f,False,enxaqueca,54,2026-03-31
menopausa,0,2026-04-14T06:00:05.345793+00:00,015a4944-8cbd-4267-88c8-6668ef6b75ef,False,peso na menopausa,1,2026-04-14
emergentes,-5.3,2026-04-12T06:00:11.660055+00:00,015b3b92-a674-4a04-9dd3-f290949c80b8,False,sepsis,18,2026-04-12
saude-mental,0,2026-06-10T06:00:08.006045+00:00,016a9fda-ef5f-4062-8033-003025ce409e,False,competências socioemocionais,1,2026-06-10
alimentacao,0,2026-06-05T06:00:05.96236+00:00,016ab196-2774-4cec-8221-1e76fc159908,False,ultraprocessados,1,2026-06-05
menopausa,0,2026-05-03T06:00:07.93598+00:00,016cb3ec-c5fa-42f1-97fd-5b3e14ebdd24,False,menopausa precoce,1,2026-05-03
saude-mental,0,2026-03-23T07:42:08.436958+00:00,0170dcfe-48fd-4218-b22d-ba702ae9c0e0,False,prevenção suicídio,1,2026-03-23
alimentacao,-19.7,2026-05-04T06:00:06.558081+00:00,0171876f-ace7-4976-a9f0-cf6232d21098,False,diabetes tipo 2,53,2026-05-04
saude-mental,0,2026-07-18T06:00:04.74449+00:00,01865433-a34c-4bc9-842f-00e6e8470a6f,False,solidão,25,2026-07-18
saude-mental,0,2026-04-29T06:00:07.186818+00:00,019befb9-9fd3-473e-9ae1-6ee0a5c44cae,False,fobia social,1,2026-04-29
alimentacao,0,2026-07-15T06:00:09.23992+00:00,01a71aa9-574d-4cb9-a971-f2cf9a269304,False,síndrome de intestino irritável,1,2026-07-15
menopausa,0,2026-05-25T06:00:08.028107+00:00,01a75efc-f72e-48f9-a6c5-1119824ae623,False,peso na menopausa,1,2026-05-25
emergentes,-25.9,2026-05-13T06:00:05.94749+00:00,01a85799-567c-4053-832b-9978e4b5e1e3,False,lúpus,60,2026-05-13
saude-mental,-100,2026-04-30T06:00:05.937373+00:00,01a9e436-e015-49d9-ba7b-c596cdb8d177,False,automutilação,0,2026-04-30
