id,question,growth_percent,relative_volume,axis,axis_label,cluster,is_question,updated_at,keyword_id,source,last_seen_at
0000cbc0-7926-438a-b529-e5c4c406c271,"como tratar tdah depois de adulto",0,35,saude-mental,"Saúde Mental","TDAH adulto",t,"2026-04-13 08:39:53.572317+00",,autocomplete,"2026-04-13 08:39:53.572317+00"
004514f5-5dfd-4dd7-863c-92b802b72e6d,"tratamento para demência em idosos",0,10,saude-mental,"Saúde Mental",demência,t,"2026-04-13 08:40:27.20613+00",,autocomplete,"2026-04-13 08:40:27.20613+00"
005aa8f4-220d-4468-a4b9-08cb761687c9,"é normal ter depressão pós parto",0,10,saude-mental,"Saúde Mental",depressão,t,"2026-04-13 08:38:46.093196+00",,autocomplete,"2026-04-13 08:38:46.093196+00"
005f9490-0d65-4e82-b211-d744985ee4f4,"primeiros sintomas de cancro da mama",0,65,menopausa,Menopausa,"cancro da mama",t,"2026-04-13 08:40:55.173287+00",,autocomplete,"2026-04-13 08:40:55.173287+00"
0060547f-f121-45d6-af58-35f10398d0ef,"sintomas de tdah em adultos teste gratuito",0,75,saude-mental,"Saúde Mental","TDAH adulto",t,"2026-04-13 08:39:53.572317+00",,autocomplete,"2026-04-13 08:39:53.572317+00"
0064cf35-0cc4-4a4a-95ef-f6c1b0c31c75,"causas de colesterol alto y triglicerídeos",0,10,alimentacao,Alimentação,"colesterol alto",t,"2026-04-13 08:40:04.811683+00",,autocomplete,"2026-04-13 08:40:04.811683+00"
00a6ec13-7505-415e-9b5b-e2282e7a5c83,"sindrome de ovario policistico como tratar",0,80,menopausa,Menopausa,"síndrome do ovário poliquístico",t,"2026-04-13 08:43:26.930582+00",,autocomplete,"2026-04-13 08:43:26.930582+00"
00bc14a5-a3ae-4d38-9081-64902ade8f6b,"fobia social sintomas",0,10,saude-mental,"Saúde Mental","fobia social",t,"2026-04-13 08:41:17.653799+00",,autocomplete,"2026-04-13 08:41:17.653799+00"
00bf5c34-1aff-4815-9671-8d52d010277d,"lupus tratamento sus",0,10,emergentes,Emergentes,lúpus,t,"2026-04-13 08:42:25.267323+00",,autocomplete,"2026-04-13 08:42:25.267323+00"
00e06ce9-2dd3-4071-a3a6-103471eafbf2,"intolerância a lactose tratamento caseiro",0,10,alimentacao,Alimentação,"intolerância à lactose",t,"2026-04-13 08:43:43.801483+00",,autocomplete,"2026-04-13 08:43:43.801483+00"
00ef6d2b-1efe-4b76-a36a-f08be553eb0e,"incontinência urinária sintomas",0,10,menopausa,Menopausa,"incontinência urinária",t,"2026-04-13 08:42:42.043868+00",,autocomplete,"2026-04-13 08:42:42.043868+00"
01244a88-1eba-43e7-83b0-d1d4b6b0ec19,"avc sintomas iniciais",0,10,emergentes,Emergentes,avc,t,"2026-04-13 08:41:12.052215+00",,autocomplete,"2026-04-13 08:41:12.052215+00"
0145f234-9d0a-4e78-a35d-9a889dbeb51e,"tratamento para doenças cardiovasculares",0,20,emergentes,Emergentes,"doenças cardiovasculares",t,"2026-04-13 08:43:21.329264+00",,autocomplete,"2026-04-13 08:43:21.329264+00"
014c7c5f-ab5c-4997-87b8-6b5bd1596add,"doença celíaca sintomas em bebe",0,10,alimentacao,Alimentação,"doença celíaca",t,"2026-04-13 08:43:38.203977+00",,autocomplete,"2026-04-13 08:43:38.203977+00"
015beb2c-56d5-4013-bb77-fbcae72e8916,"causas de doença do refluxo gastroesofágico",0,10,alimentacao,Alimentação,"refluxo gastroesofágico",t,"2026-04-13 08:40:32.807623+00",,autocomplete,"2026-04-13 08:40:32.807623+00"
01612d5b-194c-4c9d-851d-d60b1c9c3da3,"estresse causas e sintomas",0,10,saude-mental,"Saúde Mental",stress,t,"2026-04-13 08:40:21.587655+00",,autocomplete,"2026-04-13 08:40:21.587655+00"
0165223f-d74f-4772-9654-019d49ded16a,"como prevenir avc",0,10,emergentes,Emergentes,avc,t,"2026-04-13 08:41:12.052215+00",,autocomplete,"2026-04-13 08:41:12.052215+00"
01985e78-08b6-43d4-9804-2ce203443379,"vírus nipah tratamento",0,10,emergentes,Emergentes,"vírus nipah",t,"2026-04-13 08:38:12.456348+00",,autocomplete,"2026-04-13 08:38:12.456348+00"
