n,id,titulo_limpo,outlet,source_type,related_term,data,1a_PASSAGEM_S_N_D,ROTULO_CORRECTO_S_N,PERTENCE_AO_CORPUS_S_N,NOTAS
1.0,eb7bc20c-3952-46cf-a6c3-1b0cd437187f,"Presidente convencido que até à época dos incêndios ""muito se fará""",Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-04-09,N,N,N,
2.0,9685e979-e97c-43a7-b99f-e55981bfeae2,Diagnósticos de TDAH em adultos triplicam em Portugal,Expresso,media,TDAH,2025-03-10,S,S,S,
3.0,54de4469-ce93-4118-9557-8025e070b8c0,Diabetes e exercício físico,SP Medicina Interna,institucional,diabetes tipo 2,2026-04-06,S,S,S,
4.0,cd56b4fc-b811-4484-acdb-535e4e47ec30,"""Só me apetece abraçar esta criança. Vai conhecer a rejeição e solidão""",Notícias ao Minuto,media,solidão,2026-08-07,S,S,S,
5.0,7b40f6b0-b179-4497-8dce-ba08768ed449,Ex-ministra Janine Lélis retira candidatura à presidência de Cabo Verde,Notícias ao Minuto,media,candidíase,2026-08-14,N,N,N,
6.0,1b654cc8-0846-403f-9763-47174e0c8410,Obesidade infantil: Portugal entre os piores da Europa,CM Jornal,media,obesidade infantil,2025-02-05,S,S,S,
7.0,7c1799aa-ad62-450b-95b7-e6eb568cc258,"Pepa: ""Acabei o jogo com azia, senti que poderíamos ter virado o jogo""",Notícias ao Minuto,media,refluxo gastroesofágico,2026-08-08,S,S,S,Não directamente mas pode vir a estar associado a maior numero de pesquisas sobre azia - se assim os dados nos disserem
8.0,d34abf63-526e-44ed-b609-548b17475299,Gripe das aves volta a ser detetada em Torres Vedras,CM JORNAL,media,gripe aviária H5N1,2025-03-05,S,S,S,
9.0,05e25a36-3b0c-4bfa-ba43-e038270b914f,Novo medicamento pode ser a cura para a diabetes? Resultados surpreendem,Notícias ao Minuto,media,diabetes tipo 2,2026-04-09,S,S,S,
10.0,36f41e9c-fa8b-43ca-9113-3b8cefc66c98,Ainda não Chega de hipocrisia?,Observador,media,perturbação obsessivo-compulsiva,2026-04-11,N,N,N,
11.0,9a6de9db-7515-4f67-8d1e-90a798d3c764,Projecto Sophia,Observador,media,síndrome do ovário poliquístico,2026-04-11,N,N,N,"Embora não tenha certeza, habitualmente “Sophia” refere-se à escritora. “Projecto Sophia”, ainda mais."
12.0,577e2b5f-336f-458f-a6fa-18570a6514af,Estudo português revela impacto da menopausa na produtividade laboral,RTP,media,menopausa,2025-12-03,S,S,S,
13.0,08568f68-c03f-4a10-ad12-12906c74213a,Ordem dos Médicos alerta para falta de psiquiatras no SNS,Ordem dos Médicos,institucional,depressão,2025-03-05,S,S,S,VIDA INSTITUCIONAL
14.0,61c5eb6e-8965-4cb7-9c1e-17ba088b8878,Sporting-Alverca: Leão em busca de dar a volta a início de época difícil,Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-08-22,N,N,N,
15.0,1f753d24-e56b-43a7-b75b-451427744b44,Sophia de Mello Breyner defendeu na Constituinte a cultura e as pessoas com deficiência,RTP,media,síndrome do ovário poliquístico,2026-03-31,S,N,D,"O related term não faz sentido  ||  [15/09, dito na sessão] Não faz sentido o rótulo perante a escritora, a não ser que a notícia diga algo que eu não saiba. - O TITULO FALA EM CULTURA E PESSOAS COM DEFICIÊNCIA - PODE SER IMPORTANTE PARA INSIGHTS SOBRE SAÚDE."
16.0,73bcd052-d54a-4306-8c18-480108143e73,Long COVID: Portugal integra estudo europeu de longo prazo,Público,media,long covid,2026-02-18,S,S,S,
17.0,a0309dfb-5f3c-4996-b3b5-efbdb97c0688,Fretilin decide não apresentar candidato às presidenciais de Timor-Leste,Notícias ao Minuto,media,candidíase,2026-08-30,N,N,N,
18.0,97a56a2c-ffd7-41ea-be0c-137405b3bd72,DGS lança campanha contra uso excessivo de antibióticos,Diário de Notícias,media,resistência antibióticos,2026-03-08,S,S,S,
19.0,ca2c67b8-a2c7-46cd-bd3d-4e8d43352afd,Instituto Ricardo Jorge assinala Dia Mundial das Doenças Raras 2026,INSA,institucional,perturbações do espectro do autismo,2026-03-06,S,N,S,"O RELATED TER NAO PARECE TER NADA A VER COM DOENÇAS RARAS  ||  [15/09, dito na sessão] Doenças raras fazem sentido entrar; só o rótulo não me parece relacionado com doenças raras."
