n,id,titulo_limpo,outlet,source_type,related_term,data,tinha_cdata,pista_subcadeia,CLASSIFICACAO_rotulo_certo_S_N_D,NOTAS
1,eb7bc20c-3952-46cf-a6c3-1b0cd437187f,"Presidente convencido que até à época dos incêndios ""muito se fará""",Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-04-09,sim,,,
2,9685e979-e97c-43a7-b99f-e55981bfeae2,Diagnósticos de TDAH em adultos triplicam em Portugal,Expresso,media,TDAH,2025-03-10,nao,termo[:4]='tdah',,
3,54de4469-ce93-4118-9557-8025e070b8c0,Diabetes e exercício físico,SP Medicina Interna,institucional,diabetes tipo 2,2026-04-06,nao,termo[:6]='diabet',,
4,cd56b4fc-b811-4484-acdb-535e4e47ec30,"""Só me apetece abraçar esta criança. Vai conhecer a rejeição e solidão""",Notícias ao Minuto,media,solidão,2026-08-07,sim,termo[:6]='solida',,
5,7b40f6b0-b179-4497-8dce-ba08768ed449,Ex-ministra Janine Lélis retira candidatura à presidência de Cabo Verde,Notícias ao Minuto,media,candidíase,2026-08-14,sim,termo[:6]='candid',,
6,1b654cc8-0846-403f-9763-47174e0c8410,Obesidade infantil: Portugal entre os piores da Europa,CM Jornal,media,obesidade infantil,2025-02-05,nao,termo[:6]='obesid',,
7,7c1799aa-ad62-450b-95b7-e6eb568cc258,"Pepa: ""Acabei o jogo com azia, senti que poderíamos ter virado o jogo""",Notícias ao Minuto,media,refluxo gastroesofágico,2026-08-08,sim,,,
8,d34abf63-526e-44ed-b609-548b17475299,Gripe das aves volta a ser detetada em Torres Vedras,CM JORNAL,media,gripe aviária H5N1,2025-03-05,nao,termo[:6]='gripe ',,
9,05e25a36-3b0c-4bfa-ba43-e038270b914f,Novo medicamento pode ser a cura para a diabetes? Resultados surpreendem,Notícias ao Minuto,media,diabetes tipo 2,2026-04-09,sim,termo[:6]='diabet',,
10,36f41e9c-fa8b-43ca-9113-3b8cefc66c98,Ainda não Chega de hipocrisia?,Observador,media,perturbação obsessivo-compulsiva,2026-04-11,nao,,,
11,9a6de9db-7515-4f67-8d1e-90a798d3c764,Projecto Sophia,Observador,media,síndrome do ovário poliquístico,2026-04-11,nao,sigla='sop',,
12,577e2b5f-336f-458f-a6fa-18570a6514af,Estudo português revela impacto da menopausa na produtividade laboral,RTP,media,menopausa,2025-12-03,nao,termo[:6]='menopa',,
13,08568f68-c03f-4a10-ad12-12906c74213a,Ordem dos Médicos alerta para falta de psiquiatras no SNS,Ordem dos Médicos,institucional,depressão,2025-03-05,nao,,,
14,61c5eb6e-8965-4cb7-9c1e-17ba088b8878,Sporting-Alverca: Leão em busca de dar a volta a início de época difícil,Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-08-22,sim,,,
15,1f753d24-e56b-43a7-b75b-451427744b44,Sophia de Mello Breyner defendeu na Constituinte a cultura e as pessoas com deficiência,RTP,media,síndrome do ovário poliquístico,2026-03-31,nao,sigla='sop',,
16,73bcd052-d54a-4306-8c18-480108143e73,Long COVID: Portugal integra estudo europeu de longo prazo,Público,media,long covid,2026-02-18,nao,termo[:6]='long c',,
17,a0309dfb-5f3c-4996-b3b5-efbdb97c0688,Fretilin decide não apresentar candidato às presidenciais de Timor-Leste,Notícias ao Minuto,media,candidíase,2026-08-30,sim,termo[:6]='candid',,
18,97a56a2c-ffd7-41ea-be0c-137405b3bd72,DGS lança campanha contra uso excessivo de antibióticos,Diário de Notícias,media,resistência antibióticos,2026-03-08,nao,,,
19,ca2c67b8-a2c7-46cd-bd3d-4e8d43352afd,Instituto Ricardo Jorge assinala Dia Mundial das Doenças Raras 2026,INSA,institucional,perturbações do espectro do autismo,2026-03-06,nao,,,
20,ac0b52d7-56aa-497c-8997-baa6de4501dc,Perguntar para uma amiga,Público,media,avc,2026-03-30,nao,,,
21,f7efda1b-215c-4a1c-a3a9-b57ec4aa4242,Young Talents Contest 2027: Oportunidade Internacional para Internos,SP Medicina Interna,institucional,candidíase,2026-09-12,nao,,,
22,aedd57a7-71e5-4118-ad40-8f289584ace9,CathStart -Curso de Simulação em Coronariografia Diagnóstica,Sociedade Portuguesa de Cardiologia,institucional,terapia hormonal,2026-09-04,nao,,,
23,fc5844c6-3f08-4176-85b6-5f79bd9cb4b2,Corte radical. Haaland arranca nova época com mudança... de visual,Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-08-23,sim,,,
24,c035da4b-52aa-41be-b2fd-bf76859addd8,Compasso pascal. Mantém-se a tradição da visita do pároco às casas,RTP,media,dependências,2026-04-05,nao,,,
25,0d8a93e2-fdd9-4429-a396-b48c6b9be7b7,"Lula oficializa candidatura à presidência do Brasil: ""Mudar muita coisa""",Notícias ao Minuto,media,candidíase,2026-08-02,sim,termo[:6]='candid',,
26,7ea61d77-88fd-49ba-bdf0-35bef7ca49b2,Ópera portuguesa leva mito de Pigmalião a um futuro pós-apocalíptico,Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-08-31,sim,termo[:3]='per',,
27,cf1dc59b-3853-47dd-b489-64e007964304,Bipolaridade. Entre o estigma e o silêncio,Observador,media,perturbação bipolar,2026-03-27,nao,,,
28,58491797-3230-479e-9d05-b64603308443,Eurodeputado Raphael Glucksmann candidata-se às presidenciais francesas,Notícias ao Minuto,media,candidíase,2026-08-23,sim,termo[:6]='candid',,
29,c267e33c-8bb8-4547-a6f4-5debde79d451,"Morreu Vincent Pastore, ator da série ""Os Sopranos"". Tinha 80 anos",Notícias ao Minuto,media,síndrome do ovário poliquístico,2026-08-02,sim,sigla='sop',,
30,03da0dae-6354-4fa7-a689-aab12294807b,Long covid: novos estudos revelam danos cerebrais persistentes,Observador,media,long covid,2025-01-25,nao,termo[:6]='long c',,
31,51bbbfc0-f95a-4147-8134-b223f254c9e4,Suores noturnos na menopausa: novas terapias disponíveis,Público,media,suores noturnos,2025-01-18,nao,termo[:6]='suores',,
32,79a80c20-441c-4133-b357-e9ea339097e8,"Jantar ""Mar à Mesa"" promove candidatura de arte xávega à UNESCO",Notícias ao Minuto,media,candidíase,2026-09-06,sim,termo[:6]='candid',,
33,2b4c1b4b-b282-4db1-ace1-35ca1644ca16,Académica goleia Chaves no duelo inaugural da época 2026/27,Notícias ao Minuto,media,perturbação obsessivo-compulsiva,2026-08-08,sim,,,
34,c6c0eca5-5993-4f4a-9f03-a6cb8772b571,Ex-ministro acusado da morte de candidato à presidência extraditado,Notícias ao Minuto,media,candidíase,2026-08-29,sim,termo[:6]='candid',,
35,99d87eb4-f725-4814-8f51-b61abe074b4a,Covid longa custa às economias da OCDE até 115.000 milhões anuais,Notícias ao Minuto,media,long covid,2026-04-08,sim,termo[:4]='long',,
36,ea72d02a-a156-4d0d-8ee0-2a2e2c05063c,Vício do jogo. Pessoas tratadas em fevereiro são mais do que metade do ano passado,RTP,media,dependências,2026-04-11,nao,,,
37,b663d961-804e-4135-8a5a-1497b2d945d3,Menopausa: novo tratamento hormonal aprovado pela EMA,Público,media,menopausa,2025-11-15,nao,termo[:6]='menopa',,
38,ec2f0186-654e-4221-a0ad-20807bd352e4,Bélgica rejeita apoio a recandidatura de Infantino à presidência da FIFA,RTP,media,candidíase,2026-09-07,nao,termo[:6]='candid',,
39,f0c19c4c-427c-486f-8ba9-6e0e4b8a3633,Flávio Bolsonaro é oficialmente candidato à Presidência do Brasil,Diário de Notícias,media,candidíase,2026-07-25,nao,termo[:6]='candid',,
40,8ce6e569-f7f4-4b5f-97fd-2ffcb1f0af72,Mãe que matou filhos durante depressão pós-parto considerada inocente,Notícias ao Minuto,media,depressão,2026-08-29,sim,termo[:6]='depres',,
41,ec065fc1-1d70-4691-8a39-d170b422e055,CPSA contribui para declaração europeia que exige maior ação face a ondas de calor,Conselho Português para a Saúde e Ambiente,institucional,calor extremo e saúde,2026-07-24,nao,termo[:5]='calor',,
42,17b4d7ae-901d-4b91-a939-9f7553fca5b0,"Líder da UEFA não vai concorrer à presidência da FIFA, mas pede demissão de Infantino",Público,media,candidíase,2026-08-24,nao,,,
