end_time;jobid;start_time;status
2026-09-15 06:00:00.313409+00;1;2026-09-15 06:00:00.214546+00;succeeded
2026-09-14 06:00:00.30808+00;1;2026-09-14 06:00:00.207889+00;succeeded
2026-09-13 06:00:00.314274+00;1;2026-09-13 06:00:00.210719+00;succeeded
2026-09-12 06:00:00.278698+00;1;2026-09-12 06:00:00.196401+00;succeeded
2026-09-11 06:00:00.282905+00;1;2026-09-11 06:00:00.196977+00;succeeded
2026-09-10 06:00:00.312686+00;1;2026-09-10 06:00:00.206659+00;succeeded
2026-09-09 06:00:00.303309+00;1;2026-09-09 06:00:00.201335+00;succeeded
2026-09-08 06:00:00.333164+00;1;2026-09-08 06:00:00.221069+00;succeeded
2026-09-07 06:00:00.293+00;1;2026-09-07 06:00:00.205867+00;succeeded
2026-09-06 06:00:00.294641+00;1;2026-09-06 06:00:00.207782+00;succeeded
2026-09-05 06:00:00.28632+00;1;2026-09-05 06:00:00.2034+00;succeeded
2026-09-04 06:00:00.349677+00;1;2026-09-04 06:00:00.236508+00;succeeded
2026-09-03 06:00:00.29217+00;1;2026-09-03 06:00:00.203984+00;succeeded
2026-09-02 06:00:00.317676+00;1;2026-09-02 06:00:00.21125+00;succeeded
2026-09-01 06:00:00.33974+00;1;2026-09-01 06:00:00.224954+00;succeeded
2026-08-31 06:00:00.329705+00;1;2026-08-31 06:00:00.221431+00;succeeded
2026-08-30 06:00:00.337777+00;1;2026-08-30 06:00:00.225628+00;succeeded
2026-08-29 06:00:00.306272+00;1;2026-08-29 06:00:00.211113+00;succeeded
2026-08-28 06:00:00.33049+00;1;2026-08-28 06:00:00.228277+00;succeeded
2026-08-27 06:00:00.324704+00;1;2026-08-27 06:00:00.239339+00;succeeded
2026-08-26 06:00:00.324807+00;1;2026-08-26 06:00:00.218002+00;succeeded
2026-08-25 06:00:00.332095+00;1;2026-08-25 06:00:00.229389+00;succeeded
2026-08-24 06:00:00.309819+00;1;2026-08-24 06:00:00.224313+00;succeeded
2026-08-23 06:00:00.339469+00;1;2026-08-23 06:00:00.235701+00;succeeded
2026-08-22 06:00:00.333117+00;1;2026-08-22 06:00:00.209335+00;succeeded
2026-08-21 06:00:00.30817+00;1;2026-08-21 06:00:00.209863+00;succeeded
2026-08-20 06:00:00.303143+00;1;2026-08-20 06:00:00.228158+00;succeeded
2026-08-19 06:00:00.293346+00;1;2026-08-19 06:00:00.204355+00;succeeded
2026-08-18 06:00:00.322843+00;1;2026-08-18 06:00:00.213165+00;succeeded
2026-08-17 06:00:00.344617+00;1;2026-08-17 06:00:00.231141+00;succeeded
