snapshot_date,axis,keyword,search_index
2025-10-01,alimentacao,açúcar e saúde,28
2025-10-01,alimentacao,alergias alimentares,30
2025-10-01,alimentacao,alimentação plant-based,29
2025-10-01,saude-mental,ansiedade,63
2025-10-01,saude-mental,automutilação,32
2025-10-01,emergentes,bactérias carnívoras,16
2025-10-01,saude-mental,burnout,51
2025-10-01,emergentes,dengue europa,32
2025-10-01,saude-mental,depressão,59
2025-10-01,alimentacao,dieta cetogénica,21
2025-10-01,alimentacao,dieta mediterrânica,60
2025-10-01,menopausa,fitoterapia menopausa,32
2025-10-01,emergentes,gripe aviária H5N1,48
2025-10-01,saude-mental,insónia,45
2025-10-01,alimentacao,intolerância ao glúten,49
2025-10-01,alimentacao,jejum intermitente,58
2025-10-01,menopausa,libido menopausa,21
2025-10-01,emergentes,long covid,40
2025-10-01,menopausa,menopausa masculina,18
2025-10-01,menopausa,menopausa precoce,33
2025-10-01,menopausa,menopausa sintomas,59
2025-10-01,emergentes,microplásticos sangue,23
2025-10-01,emergentes,mpox portugal,77
2025-10-01,alimentacao,obesidade infantil,34
2025-10-01,menopausa,osteoporose,37
2025-10-01,saude-mental,pânico,38
2025-10-01,menopausa,peso na menopausa,25
2025-10-01,emergentes,poluição e saúde,35
2025-10-01,saude-mental,PTSD,32
2025-10-01,emergentes,resistência antibióticos,39
2025-10-01,emergentes,sarampo surto,28
2025-10-01,menopausa,secura vaginal,25
2025-10-01,saude-mental,solidão,28
2025-10-01,menopausa,suores noturnos,24
2025-10-01,alimentacao,suplementos alimentares,31
2025-10-01,saude-mental,TDAH adulto,27
2025-10-01,menopausa,terapia hormonal,51
2025-10-01,saude-mental,terapia online,23
2025-10-01,alimentacao,ultraprocessados,26
2025-10-01,emergentes,vírus nipah,19
2025-11-01,alimentacao,açúcar e saúde,33
2025-11-01,alimentacao,alergias alimentares,28
2025-11-01,alimentacao,alimentação plant-based,35
2025-11-01,saude-mental,ansiedade,73
2025-11-01,saude-mental,automutilação,30
