keyword,axis,tipo,query,valor
alergias alimentares,alimentacao,top,alergias alimentares mais comuns,100
anemia,alimentacao,top,anemia sintomas,100
anemia,alimentacao,top,ferro,52
anemia,alimentacao,top,sintomas de anemia,37
anemia,alimentacao,top,alimentos anemia,28
anemia,alimentacao,top,anemia falciforme,25
anemia,alimentacao,top,o que é anemia,19
anemia,alimentacao,top,alimentos para anemia,19
anemia,alimentacao,top,ferro para anemia,18
anemia,alimentacao,top,anemia valores,17
anemia,alimentacao,top,anemia causas,17
anemia,alimentacao,top,hemoglobina,16
anemia,alimentacao,top,anemia hemolitica,13
anemia,alimentacao,top,anemia perniciosa,13
anemia,alimentacao,top,o que e anemia,13
anemia,alimentacao,top,anemia grave,12
anemia,alimentacao,top,ferritina,11
anemia,alimentacao,top,leucemia,10
anemia,alimentacao,top,anemia tratamento,10
anemia,alimentacao,top,anemia ferropriva,9
anemia,alimentacao,top,anemia ferropenica,9
anemia,alimentacao,top,valores de anemia,9
anemia,alimentacao,top,sintomas da anemia,8
anemia,alimentacao,top,anemia no sangue,8
anemia,alimentacao,top,anemia hemolítica,8
anemia,alimentacao,top,anemia gravidez,7
anemia,alimentacao,rising,anemia síntomas,55800
anemia,alimentacao,rising,síntomas de anemia,1650
anemia,alimentacao,rising,sintomas de anemia leve,550
anemia,alimentacao,rising,anemia aplásica,200
anemia,alimentacao,rising,anemia por deficiência de ferro,140
anemia,alimentacao,rising,anemia sideroblástica,130
anemia,alimentacao,rising,alimentos ricos em ferro para curar anemia,130
anemia,alimentacao,rising,anemia microcítica hipocrômica,120
anemia,alimentacao,rising,anemia ferropenia,110
anemia,alimentacao,rising,o que é anemia,90
anemia,alimentacao,rising,anemia pode matar,90
anemia,alimentacao,rising,anemia megaloblástica,80
anemia,alimentacao,rising,o que causa anemia,80
anemia,alimentacao,rising,anemia microcítica e hipocrómica,80
anemia,alimentacao,rising,alimentos com ferro para anemia,80
anemia,alimentacao,rising,anemia symptoms,80
anemia,alimentacao,rising,anemia normocitica e normocromica,70
anemia,alimentacao,rising,anemia microcítica,60
anemia,alimentacao,rising,o que e anemia,60
anemia,alimentacao,rising,ferritina,50
anemia,alimentacao,rising,anemia grave sintomas,50
colesterol alto,alimentacao,top,hdl colesterol alto,100
colesterol alto,alimentacao,top,sintomas colesterol alto,98
colesterol alto,alimentacao,top,colesterol alto valores,50
colesterol alto,alimentacao,top,sintomas de colesterol alto,43
colesterol alto,alimentacao,top,alimentos colesterol alto,42
colesterol alto,alimentacao,top,colesterol alto o que comer,39
colesterol alto,alimentacao,top,dieta colesterol alto,27
colesterol alto,alimentacao,top,colesterol alto causas,22
colesterol alto,alimentacao,top,como baixar colesterol alto,22
colesterol alto,alimentacao,top,dieta para colesterol alto,21
colesterol alto,alimentacao,top,alimentos para colesterol alto,20
colesterol alto,alimentacao,top,colesterol alto o que fazer,19
colesterol alto,alimentacao,top,chá para colesterol alto,17
colesterol alto,alimentacao,top,colesterol alto síntomas,6
colesterol alto,alimentacao,top,chás para colesterol alto,6
colesterol alto,alimentacao,top,chá para baixar o colesterol alto,5
colesterol alto,alimentacao,rising,colesterol alto síntomas,800
colesterol alto,alimentacao,rising,chás para colesterol alto,300
colesterol alto,alimentacao,rising,chá para baixar o colesterol alto,130
diabetes tipo 2,alimentacao,top,sintomas diabetes tipo 2,100
diabetes tipo 2,alimentacao,top,diabetes tipo 2 insulina,52
diabetes tipo 2,alimentacao,top,diabetes tipo 2 valores,50
diabetes tipo 2,alimentacao,top,sintomas de diabetes tipo 2,46
diabetes tipo 2,alimentacao,top,o que é diabetes tipo 2,35
diabetes tipo 2,alimentacao,top,diabetes tipo 2 tratamento,29
diabetes tipo 2,alimentacao,top,dieta diabetes tipo 2,20
diabetes tipo 2,alimentacao,top,diabetes tipo 2 alimentação,18
diabetes tipo 2,alimentacao,top,medicamento diabetes tipo 2,18
diabetes tipo 2,alimentacao,top,medicamentos para diabetes tipo 2,17
diabetes tipo 2,alimentacao,top,alimentos diabetes tipo 2,16
diabetes tipo 2,alimentacao,top,sintomas da diabetes tipo 2,13
diabetes tipo 2,alimentacao,top,medicamento para diabetes tipo 2,12
