Category: Health
"menopausa: (15/09/2021 - 15/09/2026, Worldwide)"

TOP
Menopause,100
Hormone,5
Hot flash,3
Menstrual cycle,2
Primary ovarian insufficiency,2
Estrogen,2
Estradiol,2
Hormone replacement therapy,1
Progesterone,1
Hormone,1
climacteric,1
Menopause,<1
Postmenopause,<1
possible,<1
painful,<1
Maroon,<1

RISING
Hormone,Breakout
possible,Breakout
painful,Breakout
Postmenopause,Breakout
Primary ovarian insufficiency,"+3,700%"
Menopause,"+1,800%"
Maroon,+200%
Hormone replacement therapy,+170%
Progesterone,+120%
Estradiol,+120%
Estrogen,+60%

