"Region","dieta mediterrânica","jejum intermitente","dieta cetogénica","dieta proteica","dieta"
"Faro District",6,9,0,0,85
"Bragança District",5,9,0,0,86
"Viseu District",3,13,0,0,84
"Leiria District",3,12,1,0,84
"Santarém District",3,12,1,0,84
"Azores",3,12,0,0,85
"Beja District",3,11,0,0,86
"Portalegre District",3,11,0,0,86
"Vila Real District",3,11,0,0,86
"Coimbra District",3,10,1,0,86
"Castelo Branco District",3,10,0,0,87
"Évora District",3,10,0,0,87
"Braga",2,12,1,0,85
"Aveiro District",2,11,1,1,85
"Setubal",2,11,1,0,86
"Porto District",2,10,1,0,87
"Lisbon",2,9,1,0,88
"Viana do Castelo District",1,13,0,0,86
"Guarda District",0,11,0,0,89
"Madeira",0,2,0,1,97
