"Time","alimentação"
"2021-09-01",48
"2021-10-01",100
"2021-11-01",52
"2021-12-01",34
"2022-01-01",38
"2022-02-01",51
"2022-03-01",52
"2022-04-01",43
"2022-05-01",48
"2022-06-01",41
"2022-07-01",35
"2022-08-01",33
"2022-09-01",41
"2022-10-01",79
"2022-11-01",53
"2022-12-01",38
"2023-01-01",47
"2023-02-01",43
"2023-03-01",49
"2023-04-01",42
"2023-05-01",47
"2023-06-01",39
"2023-07-01",35
"2023-08-01",31
"2023-09-01",38
"2023-10-01",72
"2023-11-01",46
"2023-12-01",33
"2024-01-01",40
"2024-02-01",39
"2024-03-01",39
"2024-04-01",38
"2024-05-01",37
"2024-06-01",31
"2024-07-01",33
"2024-08-01",27
"2024-09-01",35
"2024-10-01",65
"2024-11-01",40
"2024-12-01",37
"2025-01-01",38
"2025-02-01",35
"2025-03-01",35
"2025-04-01",31
"2025-05-01",32
"2025-06-01",29
"2025-07-01",26
"2025-08-01",25
"2025-09-01",35
"2025-10-01",62
"2025-11-01",37
"2025-12-01",26
"2026-01-01",29
"2026-02-01",31
"2026-03-01",31
"2026-04-01",32
"2026-05-01",35
"2026-06-01",29
"2026-07-01",25
"2026-08-01",26
"2026-09-01",32
