"Time","emagrecer"
"2021-09-01",85
"2021-10-01",67
"2021-11-01",56
"2021-12-01",47
"2022-01-01",67
"2022-02-01",77
"2022-03-01",80
"2022-04-01",93
"2022-05-01",100
"2022-06-01",91
"2022-07-01",93
"2022-08-01",83
"2022-09-01",76
"2022-10-01",71
"2022-11-01",59
"2022-12-01",47
"2023-01-01",73
"2023-02-01",72
"2023-03-01",79
"2023-04-01",96
"2023-05-01",87
"2023-06-01",93
"2023-07-01",84
"2023-08-01",88
"2023-09-01",74
"2023-10-01",64
"2023-11-01",51
"2023-12-01",46
"2024-01-01",66
"2024-02-01",60
"2024-03-01",67
"2024-04-01",73
"2024-05-01",67
"2024-06-01",75
"2024-07-01",72
"2024-08-01",62
"2024-09-01",52
"2024-10-01",47
"2024-11-01",49
"2024-12-01",40
"2025-01-01",55
"2025-02-01",54
"2025-03-01",67
"2025-04-01",76
"2025-05-01",77
"2025-06-01",71
"2025-07-01",59
"2025-08-01",67
"2025-09-01",55
"2025-10-01",51
"2025-11-01",47
"2025-12-01",41
"2026-01-01",54
"2026-02-01",52
"2026-03-01",64
"2026-04-01",65
"2026-05-01",60
"2026-06-01",60
"2026-07-01",60
"2026-08-01",54
"2026-09-01",56
