"Time","ozempic"
"2021-09-01",0
"2021-10-01",13
"2021-11-01",11
"2021-12-01",7
"2022-01-01",10
"2022-02-01",15
"2022-03-01",13
"2022-04-01",18
"2022-05-01",18
"2022-06-01",20
"2022-07-01",30
"2022-08-01",34
"2022-09-01",48
"2022-10-01",63
"2022-11-01",31
"2022-12-01",19
"2023-01-01",25
"2023-02-01",28
"2023-03-01",43
"2023-04-01",50
"2023-05-01",44
"2023-06-01",45
"2023-07-01",42
"2023-08-01",44
"2023-09-01",47
"2023-10-01",50
"2023-11-01",52
"2023-12-01",46
"2024-01-01",49
"2024-02-01",44
"2024-03-01",51
"2024-04-01",58
"2024-05-01",68
"2024-06-01",70
"2024-07-01",69
"2024-08-01",60
"2024-09-01",56
"2024-10-01",51
"2024-11-01",59
"2024-12-01",55
"2025-01-01",73
"2025-02-01",59
"2025-03-01",89
"2025-04-01",95
"2025-05-01",58
"2025-06-01",66
"2025-07-01",55
"2025-08-01",78
"2025-09-01",61
"2025-10-01",52
"2025-11-01",86
"2025-12-01",60
"2026-01-01",56
"2026-02-01",100
"2026-03-01",70
"2026-04-01",68
"2026-05-01",67
"2026-06-01",75
"2026-07-01",74
"2026-08-01",58
"2026-09-01",68
