"Time","jejum intermitente"
"2021-09-01",83
"2021-10-01",59
"2021-11-01",38
"2021-12-01",37
"2022-01-01",82
"2022-02-01",71
"2022-03-01",74
"2022-04-01",81
"2022-05-01",100
"2022-06-01",97
"2022-07-01",83
"2022-08-01",91
"2022-09-01",66
"2022-10-01",49
"2022-11-01",42
"2022-12-01",39
"2023-01-01",99
"2023-02-01",67
"2023-03-01",77
"2023-04-01",67
"2023-05-01",65
"2023-06-01",54
"2023-07-01",47
"2023-08-01",50
"2023-09-01",56
"2023-10-01",47
"2023-11-01",35
"2023-12-01",25
"2024-01-01",44
"2024-02-01",39
"2024-03-01",47
"2024-04-01",50
"2024-05-01",46
"2024-06-01",70
"2024-07-01",51
"2024-08-01",40
"2024-09-01",39
"2024-10-01",30
"2024-11-01",30
"2024-12-01",21
"2025-01-01",33
"2025-02-01",34
"2025-03-01",25
"2025-04-01",36
"2025-05-01",34
"2025-06-01",26
"2025-07-01",31
"2025-08-01",28
"2025-09-01",24
"2025-10-01",21
"2025-11-01",20
"2025-12-01",21
"2026-01-01",22
"2026-02-01",22
"2026-03-01",14
"2026-04-01",20
"2026-05-01",18
"2026-06-01",15
"2026-07-01",16
"2026-08-01",16
"2026-09-01",11
