"Time","dieta mediterrânica","jejum intermitente","dieta cetogénica","dieta proteica","dieta"
"2021-09-01",0,16,0,0,100
"2021-10-01",5,11,0,0,94
"2021-11-01",5,7,0,0,76
"2021-12-01",3,7,0,0,56
"2022-01-01",3,15,0,0,82
"2022-02-01",3,13,0,0,90
"2022-03-01",3,14,0,0,92
"2022-04-01",2,15,0,0,93
"2022-05-01",3,19,0,0,100
"2022-06-01",1,18,0,0,85
"2022-07-01",1,16,0,0,87
"2022-08-01",1,17,0,0,84
"2022-09-01",4,12,0,0,84
"2022-10-01",5,9,0,0,77
"2022-11-01",4,8,0,0,68
"2022-12-01",2,7,0,0,61
"2023-01-01",2,19,0,0,86
"2023-02-01",1,13,0,0,79
"2023-03-01",1,15,0,0,85
"2023-04-01",1,13,0,0,88
"2023-05-01",2,12,0,0,86
"2023-06-01",1,10,3,0,80
"2023-07-01",2,9,0,0,80
"2023-08-01",1,9,0,0,76
"2023-09-01",3,11,0,0,73
"2023-10-01",5,9,0,0,74
"2023-11-01",3,7,0,0,61
"2023-12-01",2,5,0,0,53
"2024-01-01",3,8,0,0,72
"2024-02-01",2,7,0,0,67
"2024-03-01",0,9,0,0,65
"2024-04-01",1,9,0,0,75
"2024-05-01",0,9,0,0,74
"2024-06-01",0,13,0,0,65
"2024-07-01",0,10,0,0,65
"2024-08-01",1,8,0,0,61
"2024-09-01",2,7,0,0,63
"2024-10-01",2,6,0,0,58
"2024-11-01",2,6,1,0,61
"2024-12-01",1,4,3,0,54
"2025-01-01",0,6,0,0,64
"2025-02-01",2,6,0,0,62
"2025-03-01",2,5,0,0,64
"2025-04-01",0,7,0,0,59
"2025-05-01",1,7,0,0,66
"2025-06-01",0,5,0,0,62
"2025-07-01",0,6,0,0,58
"2025-08-01",2,5,0,0,56
"2025-09-01",3,4,0,0,62
"2025-10-01",4,4,0,0,61
"2025-11-01",2,4,0,0,49
"2025-12-01",0,4,0,0,42
"2026-01-01",2,4,0,0,56
"2026-02-01",0,4,0,0,51
"2026-03-01",2,3,0,0,60
"2026-04-01",1,4,0,0,65
"2026-05-01",0,3,0,0,56
"2026-06-01",1,3,0,0,47
"2026-07-01",0,3,0,0,48
"2026-08-01",0,3,0,0,46
"2026-09-01",1,2,0,0,52
