Category: Health
TOP
Pain,100
Pharmacy,87
Symptom,87
Portugal,82
Hospital,80
Disease or medical condition,63
Vaccine,59
Health,56
Meo,55
COVID-19,54
Price,51
Lisbon,51
Food,49
Physician,43
Portuguese,42
Medicine,41
Porto,40
Independent Online,40
Glasses,40
ADSE,39
Facebook,39
Clinic,38
Pregnancy,38
Cancer,36

RISING
Meo,Breakout
COVID-19,Breakout
Facebook,Breakout
Twitch,Breakout
Prozis,Breakout
Loja MEO,Breakout
Prozis,Breakout
Google,Breakout
Panda e Os Caricas,Breakout
Coronavirus,Breakout
Visão de Mercado,Breakout
Agenda-setting theory,Breakout
Hospital Lusíadas Lisboa,Breakout
Signs and symptoms,Breakout
YouTube,Breakout
Muscle,"+3,250%"
Gmail,"+3,100%"
Wikipedia,"+2,500%"
Instagram,"+2,350%"
Meaning,"+2,250%"
Meaning,"+2,100%"

