Category: Health

Month,Geo: Portugal
2004-01,56
2004-02,52
2004-03,58
2004-04,55
2004-05,61
2004-06,52
2004-07,48
2004-08,41
2004-09,54
2004-10,56
2004-11,64
2004-12,51
2005-01,66
2005-02,61
2005-03,63
2005-04,71
2005-05,70
2005-06,64
2005-07,59
2005-08,47
2005-09,64
2005-10,72
2005-11,70
2005-12,56
2006-01,71
2006-02,68
2006-03,76
2006-04,67
2006-05,77
2006-06,71
2006-07,64
2006-08,53
2006-09,64
2006-10,77
2006-11,76
2006-12,60
2007-01,75
2007-02,71
2007-03,74
2007-04,69
2007-05,79
2007-06,77
2007-07,67
2007-08,53
2007-09,67
2007-10,82
2007-11,76
2007-12,63
2008-01,81
2008-02,78
2008-03,72
2008-04,74
2008-05,77
2008-06,69
2008-07,69
2008-08,52
2008-09,65
2008-10,75
2008-11,73
2008-12,60
2009-01,75
2009-02,64
2009-03,71
2009-04,68
2009-05,75
2009-06,66
2009-07,65
2009-08,54
2009-09,63
2009-10,68
2009-11,67
2009-12,52
2010-01,64
2010-02,60
2010-03,61
2010-04,64
2010-05,62
2010-06,53
2010-07,47
2010-08,41
2010-09,44
2010-10,46
2010-11,45
2010-12,37
2011-01,71
2011-02,71
2011-03,70
2011-04,65
2011-05,73
2011-06,65
2011-07,61
2011-08,53
2011-09,60
2011-10,66
2011-11,68
2011-12,57
2012-01,67
2012-02,58
2012-03,68
2012-04,66
2012-05,69
2012-06,61
2012-07,58
2012-08,51
2012-09,55
2012-10,61
2012-11,62
2012-12,52
2013-01,63
2013-02,61
2013-03,59
2013-04,59
2013-05,63
2013-06,58
2013-07,55
2013-08,47
2013-09,57
2013-10,59
2013-11,58
2013-12,52
2014-01,59
2014-02,58
2014-03,57
2014-04,57
2014-05,59
2014-06,61
2014-07,59
2014-08,51
2014-09,57
2014-10,58
2014-11,59
2014-12,49
2015-01,58
2015-02,55
2015-03,54
2015-04,55
2015-05,54
2015-06,51
2015-07,52
2015-08,46
2015-09,53
2015-10,56
2015-11,51
2015-12,45
2016-01,59
2016-02,56
2016-03,58
2016-04,59
2016-05,58
2016-06,56
2016-07,51
2016-08,46
2016-09,52
2016-10,54
2016-11,53
2016-12,50
2017-01,58
2017-02,55
2017-03,60
2017-04,54
2017-05,57
2017-06,56
2017-07,51
2017-08,49
2017-09,53
2017-10,58
2017-11,56
2017-12,52
2018-01,58
2018-02,57
2018-03,59
2018-04,57
2018-05,60
2018-06,56
2018-07,55
2018-08,51
2018-09,56
2018-10,57
2018-11,58
2018-12,50
2019-01,56
2019-02,59
2019-03,57
2019-04,58
2019-05,60
2019-06,62
2019-07,62
2019-08,57
2019-09,57
2019-10,63
2019-11,62
2019-12,57
2020-01,66
2020-02,68
2020-03,100
2020-04,75
2020-05,70
2020-06,69
2020-07,66
2020-08,65
2020-09,67
2020-10,71
2020-11,67
2020-12,63
2021-01,69
2021-02,71
2021-03,72
2021-04,73
2021-05,72
2021-06,83
2021-07,89
2021-08,72
2021-09,67
2021-10,65
2021-11,67
2021-12,71
2022-01,89
2022-02,70
2022-03,71
2022-04,67
2022-05,73
2022-06,69
2022-07,67
2022-08,61
2022-09,67
2022-10,65
2022-11,67
2022-12,63
2023-01,67
2023-02,72
2023-03,69
2023-04,67
2023-05,74
2023-06,68
2023-07,69
2023-08,66
2023-09,68
2023-10,74
2023-11,68
2023-12,66
2024-01,75
2024-02,72
2024-03,69
2024-04,74
2024-05,76
2024-06,77
2024-07,74
2024-08,69
2024-09,70
2024-10,77
2024-11,75
2024-12,69
2025-01,78
2025-02,75
2025-03,76
2025-04,68
2025-05,69
2025-06,68
2025-07,70
2025-08,64
2025-09,63
2025-10,70
2025-11,67
2025-12,63
2026-01,70
2026-02,69
2026-03,68
2026-04,69
2026-05,69
2026-06,65
2026-07,69
2026-08,68
2026-09,67
