Category: Health
TOP
Pain,100
Pharmacy,88
Hospital,78
Portugal,73
Symptom,69
Disease or medical condition,52
Food,47
Vaccine,44
Health,44
Price,44
Medicine,44
Glasses,41
COVID-19,41
Porto,40
Day,40
Lisbon,39
ADSE,37
Pharmaceutical drug,37
Physician,36
Meo,35
Twitch,35
Cancer,34
Blood,33
Pregnancy,33
Infant,33

RISING
Loja MEO,Breakout
Google,Breakout
Signs and symptoms,Breakout
Continente,Breakout
ChatGPT,Breakout
2026,Breakout
Medical Treatment,Breakout
2024,Breakout
Law,Breakout
2025,Breakout
2023,Breakout
Elderly person,Breakout
2022,"+5,000%"
Nursing,"+1,700%"
good,"+1,600%"
Autistic Spectrum Disorders,+650%
Meaning,+650%
Human tooth,+450%
Risk,+400%
Creatine,+350%
Cure,+350%
Safety,+300%
Translator,+300%
Syrup,+250%
Attention deficit hyperactivity disorder (ADHD),+250%

