Category: Health

Week,Geo: Portugal
2021-09-12,71
2021-09-19,70
2021-09-26,66
2021-10-03,70
2021-10-10,73
2021-10-17,70
2021-10-24,72
2021-10-31,68
2021-11-07,69
2021-11-14,73
2021-11-21,75
2021-11-28,77
2021-12-05,77
2021-12-12,79
2021-12-19,70
2021-12-26,79
2022-01-02,100
2022-01-09,94
2022-01-16,84
2022-01-23,88
2022-01-30,88
2022-02-06,80
2022-02-13,76
2022-02-20,70
2022-02-27,73
2022-03-06,79
2022-03-13,80
2022-03-20,79
2022-03-27,78
2022-04-03,76
2022-04-10,70
2022-04-17,76
2022-04-24,73
2022-05-01,77
2022-05-08,78
2022-05-15,83
2022-05-22,79
2022-05-29,80
2022-06-05,72
2022-06-12,74
2022-06-19,72
2022-06-26,75
2022-07-03,79
2022-07-10,70
2022-07-17,69
2022-07-24,70
2022-07-31,72
2022-08-07,67
2022-08-14,66
2022-08-21,67
2022-08-28,68
2022-09-04,66
2022-09-11,70
2022-09-18,74
2022-09-25,71
2022-10-02,70
2022-10-09,79
2022-10-16,76
2022-10-23,78
2022-10-30,70
2022-11-06,75
2022-11-13,78
2022-11-20,73
2022-11-27,67
2022-12-04,68
2022-12-11,72
2022-12-18,67
2022-12-25,72
2023-01-01,77
2023-01-08,77
2023-01-15,73
2023-01-22,73
2023-01-29,75
2023-02-05,75
2023-02-12,75
2023-02-19,70
2023-02-26,75
2023-03-05,76
2023-03-12,76
2023-03-19,76
2023-03-26,75
2023-04-02,68
2023-04-09,75
2023-04-16,76
2023-04-23,70
2023-04-30,72
2023-05-07,77
2023-05-14,78
2023-05-21,77
2023-05-28,77
2023-06-04,75
2023-06-11,75
2023-06-18,78
2023-06-25,77
2023-07-02,77
2023-07-09,76
2023-07-16,77
2023-07-23,76
2023-07-30,70
2023-08-06,74
2023-08-13,73
2023-08-20,74
2023-08-27,73
2023-09-03,73
2023-09-10,74
2023-09-17,77
2023-09-24,78
2023-10-01,75
2023-10-08,79
2023-10-15,80
2023-10-22,75
2023-10-29,72
2023-11-05,75
2023-11-12,79
2023-11-19,77
2023-11-26,72
2023-12-03,71
2023-12-10,73
2023-12-17,69
2023-12-24,70
2023-12-31,77
2024-01-07,81
2024-01-14,84
2024-01-21,79
2024-01-28,79
2024-02-04,76
2024-02-11,76
2024-02-18,79
2024-02-25,78
2024-03-03,81
2024-03-10,81
2024-03-17,80
2024-03-24,76
2024-03-31,80
2024-04-07,80
2024-04-14,87
2024-04-21,76
2024-04-28,80
2024-05-05,79
2024-05-12,88
2024-05-19,81
2024-05-26,75
2024-06-02,84
2024-06-09,81
2024-06-16,81
2024-06-23,79
2024-06-30,77
2024-07-07,81
2024-07-14,80
2024-07-21,78
2024-07-28,77
2024-08-04,74
2024-08-11,76
2024-08-18,75
2024-08-25,75
2024-09-01,74
2024-09-08,77
2024-09-15,77
2024-09-22,75
2024-09-29,83
2024-10-06,86
2024-10-13,81
2024-10-20,82
2024-10-27,79
2024-11-03,81
2024-11-10,82
2024-11-17,82
2024-11-24,80
2024-12-01,82
2024-12-08,75
2024-12-15,73
2024-12-22,69
2024-12-29,73
2025-01-05,89
2025-01-12,82
2025-01-19,81
2025-01-26,83
2025-02-02,79
2025-02-09,79
2025-02-16,82
2025-02-23,77
2025-03-02,78
2025-03-09,80
2025-03-16,85
2025-03-23,81
2025-03-30,82
2025-04-06,79
2025-04-13,69
2025-04-20,71
2025-04-27,67
2025-05-04,76
2025-05-11,80
2025-05-18,77
2025-05-25,79
2025-06-01,81
2025-06-08,76
2025-06-15,74
2025-06-22,74
2025-06-29,70
2025-07-06,74
2025-07-13,74
2025-07-20,74
2025-07-27,72
2025-08-03,75
2025-08-10,65
2025-08-17,68
2025-08-24,69
2025-08-31,68
2025-09-07,67
2025-09-14,73
2025-09-21,76
2025-09-28,74
2025-10-05,77
2025-10-12,77
2025-10-19,76
2025-10-26,72
2025-11-02,73
2025-11-09,76
2025-11-16,74
2025-11-23,72
2025-11-30,70
2025-12-07,68
2025-12-14,69
2025-12-21,61
2025-12-28,68
2026-01-04,80
2026-01-11,80
2026-01-18,77
2026-01-25,74
2026-02-01,75
2026-02-08,74
2026-02-15,72
2026-02-22,76
2026-03-01,76
2026-03-08,80
2026-03-15,77
2026-03-22,81
2026-03-29,69
2026-04-05,75
2026-04-12,74
2026-04-19,75
2026-04-26,70
2026-05-03,81
2026-05-10,79
2026-05-17,77
2026-05-24,78
2026-05-31,65
2026-06-07,69
2026-06-14,68
2026-06-21,71
2026-06-28,71
2026-07-05,73
2026-07-12,75
2026-07-19,73
2026-07-26,72
2026-08-02,74
2026-08-09,77
2026-08-16,74
2026-08-23,72
2026-08-30,69
2026-09-06,72
2026-09-13,80
