Category: Health

Day,Geo: Portugal
2026-06-18,85
2026-06-19,82
2026-06-20,66
2026-06-21,66
2026-06-22,81
2026-06-23,81
2026-06-24,87
2026-06-25,89
2026-06-26,81
2026-06-27,68
2026-06-28,65
2026-06-29,81
2026-06-30,85
2026-07-01,92
2026-07-02,82
2026-07-03,77
2026-07-04,71
2026-07-05,68
2026-07-06,80
2026-07-07,82
2026-07-08,92
2026-07-09,86
2026-07-10,81
2026-07-11,67
2026-07-12,71
2026-07-13,93
2026-07-14,91
2026-07-15,95
2026-07-16,93
2026-07-17,87
2026-07-18,66
2026-07-19,39
2026-07-20,88
2026-07-21,87
2026-07-22,91
2026-07-23,89
2026-07-24,82
2026-07-25,68
2026-07-26,71
2026-07-27,87
2026-07-28,90
2026-07-29,89
2026-07-30,87
2026-07-31,82
2026-08-01,66
2026-08-02,70
2026-08-03,84
2026-08-04,95
2026-08-05,90
2026-08-06,90
2026-08-07,91
2026-08-08,74
2026-08-09,75
2026-08-10,93
2026-08-11,93
2026-08-12,100
2026-08-13,83
2026-08-14,80
2026-08-15,68
2026-08-16,67
2026-08-17,84
2026-08-18,80
2026-08-19,88
2026-08-20,83
2026-08-21,89
2026-08-22,73
2026-08-23,76
2026-08-24,87
2026-08-25,90
2026-08-26,86
2026-08-27,86
2026-08-28,78
2026-08-29,63
2026-08-30,68
2026-08-31,85
2026-09-01,86
2026-09-02,83
2026-09-03,84
2026-09-04,85
2026-09-05,72
2026-09-06,66
2026-09-07,84
2026-09-08,85
2026-09-09,84
2026-09-10,85
2026-09-11,84
2026-09-12,75
2026-09-13,69
2026-09-14,98
2026-09-15,98
2026-09-16,86
2026-09-17,90
2026-09-18,69
