Category: Health

Week,menopausa: (Portugal),ansiedade: (Portugal),depressão: (Portugal),alimentação: (Portugal),obesidade: (Portugal)
2021-09-12,19,35,15,14,4
2021-09-19,13,39,17,16,3
2021-09-26,11,31,13,19,4
2021-10-03,13,32,18,26,4
2021-10-10,12,34,15,52,8
2021-10-17,23,35,13,32,7
2021-10-24,10,32,16,19,5
2021-10-31,10,29,14,16,3
2021-11-07,11,33,13,18,6
2021-11-14,12,33,18,18,7
2021-11-21,10,30,15,18,5
2021-11-28,9,29,17,14,5
2021-12-05,9,33,20,13,5
2021-12-12,8,35,14,14,4
2021-12-19,8,27,15,9,2
2021-12-26,9,31,13,10,3
2022-01-02,14,36,16,16,3
2022-01-09,9,38,16,16,4
2022-01-16,10,37,18,17,6
2022-01-23,7,38,15,16,4
2022-01-30,10,34,17,18,4
2022-02-06,9,34,18,19,5
2022-02-13,12,38,20,16,6
2022-02-20,9,37,15,18,5
2022-02-27,10,35,16,16,8
2022-03-06,9,35,19,14,5
2022-03-13,12,37,21,19,4
2022-03-20,13,37,17,18,6
2022-03-27,10,36,17,18,7
2022-04-03,10,34,20,15,5
2022-04-10,10,32,16,11,3
2022-04-17,9,33,14,16,3
2022-04-24,11,33,19,15,5
2022-05-01,13,33,16,19,6
2022-05-08,12,38,16,16,6
2022-05-15,12,35,20,16,8
2022-05-22,11,36,19,16,8
2022-05-29,11,33,17,16,5
2022-06-05,11,32,15,14,4
2022-06-12,11,34,16,14,4
2022-06-19,11,40,18,13,3
2022-06-26,10,43,27,14,3
2022-07-03,10,33,14,12,4
2022-07-10,11,32,15,10,4
2022-07-17,14,35,14,12,2
2022-07-24,14,34,14,11,3
2022-07-31,14,32,13,10,2
2022-08-07,14,34,12,9,2
2022-08-14,12,34,12,10,3
2022-08-21,14,32,16,9,2
2022-08-28,13,34,13,10,2
2022-09-04,15,40,13,10,3
2022-09-11,19,36,16,11,3
2022-09-18,21,37,15,15,3
2022-09-25,13,34,14,18,5
2022-10-02,14,35,16,19,4
2022-10-09,17,40,17,36,5
2022-10-16,21,33,19,31,4
2022-10-23,16,38,18,17,6
2022-10-30,10,32,15,17,6
2022-11-06,13,37,18,19,6
2022-11-13,14,34,16,17,4
2022-11-20,13,32,15,13,5
2022-11-27,10,31,14,16,3
2022-12-04,11,30,13,13,4
2022-12-11,11,40,16,14,4
2022-12-18,10,29,15,9,4
2022-12-25,12,27,15,10,3
2023-01-01,11,42,17,14,3
2023-01-08,15,38,18,17,5
2023-01-15,10,37,18,16,5
2023-01-22,12,36,19,15,4
2023-01-29,9,35,16,14,4
2023-02-05,10,33,13,16,4
2023-02-12,14,36,14,14,5
2023-02-19,13,36,16,14,3
2023-02-26,14,34,23,17,8
2023-03-05,13,34,15,16,5
2023-03-12,12,41,15,16,7
2023-03-19,16,34,17,18,6
2023-03-26,14,37,15,16,6
2023-04-02,14,33,11,11,3
2023-04-09,14,37,15,12,4
2023-04-16,14,35,13,18,5
2023-04-23,15,35,11,16,4
2023-04-30,15,34,14,15,4
2023-05-07,16,33,15,17,5
2023-05-14,16,36,13,17,7
2023-05-21,15,33,13,16,7
2023-05-28,16,34,17,14,5
2023-06-04,16,39,42,14,3
2023-06-11,18,35,11,13,4
2023-06-18,15,35,14,13,4
2023-06-25,14,33,12,12,4
2023-07-02,15,36,12,11,5
2023-07-09,15,35,16,10,3
2023-07-16,15,33,14,12,3
2023-07-23,16,31,12,11,4
2023-07-30,14,30,11,11,4
2023-08-06,14,31,11,8,2
2023-08-13,14,29,11,9,3
2023-08-20,17,33,9,9,2
2023-08-27,14,32,11,12,2
2023-09-03,19,35,11,10,3
2023-09-10,16,36,14,11,4
2023-09-17,16,36,12,13,4
2023-09-24,16,36,14,15,4
2023-10-01,18,38,12,16,4
2023-10-08,19,36,14,26,5
2023-10-15,20,34,30,33,3
2023-10-22,16,31,22,18,4
2023-10-29,14,34,26,17,4
2023-11-05,11,34,14,14,5
2023-11-12,15,37,14,16,4
2023-11-19,10,37,13,13,6
2023-11-26,14,33,13,14,3
2023-12-03,9,35,12,12,4
2023-12-10,12,33,12,13,3
2023-12-17,9,29,12,8,3
2023-12-24,10,27,13,8,3
2023-12-31,13,34,12,12,3
2024-01-07,12,33,19,14,2
2024-01-14,16,36,34,15,3
2024-01-21,15,37,12,15,5
2024-01-28,14,32,9,12,4
