Category: Health
"depressão: (15/09/2021 - 15/09/2026, Portugal)"

TOP
Depression,100
Clinical depression,45
Cyclone,16
Anxiety,14
Postnatal depression,2
Depression Test,<1
Tropical depression,<1
Academy Awards,<1
CELINE,<1
Céline,<1
Depression Test,<1
Nininho Vaz Maia,<1
Depressão,<1
Depressão,<1

RISING
Tropical depression,Breakout
Academy Awards,Breakout
CELINE,Breakout
Céline,Breakout
Depression Test,Breakout
Nininho Vaz Maia,Breakout
Depressão,Breakout
Cyclone,"+3,700%"
Depression Test,"+1,900%"
Depressão,+750%

