"Region","vacinas","surto","vírus","sintomas"
"Lisbon",7,1,2,90
"Porto District",7,1,2,90
"Braga",6,1,2,91
"Bragança District",6,1,2,91
"Castelo Branco District",6,1,2,91
"Coimbra District",6,1,2,91
"Évora District",6,1,2,91
"Guarda District",6,1,2,91
"Leiria District",6,1,2,91
"Setubal",6,1,2,91
"Viana do Castelo District",6,1,2,91
"Viseu District",6,1,2,91
"Aveiro District",5,1,2,92
"Beja District",5,1,2,92
"Faro District",5,1,2,92
"Santarém District",5,1,2,92
"Vila Real District",5,1,2,92
"Portalegre District",5,1,1,93
"Azores",4,1,2,93
"Madeira",2,1,1,96
