"Region","vacinas","autismo","sarampo"
"Lisbon",50,36,14
"Guarda District",47,38,15
"Viseu District",45,44,11
"Porto District",45,43,12
"Beja District",45,42,13
"Coimbra District",45,42,13
"Setubal",45,42,13
"Braga",45,41,14
"Leiria District",45,41,14
"Évora District",44,45,11
"Bragança District",44,44,12
"Vila Real District",43,44,13
"Castelo Branco District",43,42,15
"Faro District",43,42,15
"Portalegre District",42,48,10
"Santarém District",42,46,12
"Viana do Castelo District",42,46,12
"Aveiro District",42,43,15
"Azores",35,50,15
"Madeira",21,71,8
