"query","search interest","increase percent"
"forma de administrar vacinas",2,"Breakout"
"prevenar 20",1,"Breakout"
"forma de administrar vacinas palavra",0,"Breakout"
"sns24 boletim de vacinas",2,"850%"
"tabela de vacinas por idade",1,"800%"
"farmacias portuguesas vacinas",1,"550%"
"portal sns 24",1,"400%"
"sns 24",4,"250%"
"sns24 vacinas",6,"250%"
"vacinas criancas",4,"200%"
"boletim de vacinas online",13,"200%"
"febre tifoide",3,"200%"
"sns24",6,"200%"
"vacinas 4 meses",8,"200%"
"sns boletim de vacinas",6,"200%"
"difteria",3,"190%"
"vacina febre tifoide",2,"190%"
"vacinas crianças",10,"190%"
"vacinas 6 meses",4,"190%"
"vacinas de 1 ano",3,"180%"
"vacina hepatite a",4,"180%"
"vacinas dos 2 meses",4,"160%"
"vacinas obrigatórias portugal",3,"160%"
"vacinas hepatite a",7,"160%"
"boletim vacinas online",17,"150%"
"hepatite a",7,"150%"
"vacinas 1 ano",6,"140%"
"nimenrix",3,"140%"
"vacinas 5 anos",5,"140%"
"vacinas bebes",8,"130%"
"vacinas 2 meses bebe",4,"120%"
"vacinas 2 meses",18,"120%"
"vacinas 18 meses",4,"120%"
"vacina febre amarela",3,"110%"
"vacinas obrigatorias",11,"110%"
"vacina tetano",3,"110%"
"febre amarela",5,"110%"
"vacinas casa aberta",6,"110%"
"vacinas vivas",5,"100%"
"vacinas do covid nomes",0,"100%"
"primeiras vacinas do bebe",0,"100%"
"casa aberta vacinas",6,"100%"
"vacinas 12 meses",5,"100%"
"vacina hpv",3,"100%"
"boletim vacinas",58,"100%"
"vacinas hpv",6,"90%"
"vacinas para gatos",3,"90%"
"vacina varicela",2,"90%"
"vacinas bebe",20,"90%"
"rotavirus",4,"80%"
