"query","search interest","increase percent"
"vacinas covid",100,"-40%"
"covid vacinas",97,"-40%"
"vacina",78,"-20%"
"boletim vacinas",58,"100%"
"vacinas portugal",42,"-50%"
"boletim de vacinas",37,"60%"
"vacinação",26,"-20%"
"vacinas sns",21,"40%"
"sns vacinas",21,"40%"
"vacinas bebe",20,"90%"
"vacinas gripe",19,"80%"
"vacinas 2 meses",18,"120%"
"boletim vacinas online",17,"150%"
"boletim de vacinas online",13,"200%"
"vacinas covid 19",13,"-50%"
"agendamento vacinas",12,"-30%"
"vacinas agendamento",12,"-40%"
"vacinas obrigatorias",11,"110%"
"vacinas crianças",10,"190%"
"vacinas dgs",10,"-40%"
"dgs vacinas",10,"-40%"
"vacinas brasil",10,"40%"
"pnv",9,"60%"
"vacinas gatos",9,"60%"
"vacinas do covid",9,"30%"
"vacinas covid portugal",9,"-70%"
"consulta viajante",9,"60%"
"covid portugal",9,"-70%"
"vacinas 4 meses",8,"200%"
"vacinas caes",8,"20%"
"vacinas bebes",8,"130%"
"vacinas da gripe",7,"30%"
"consulta do viajante",7,"50%"
"agendamento vacinas covid",7,"-30%"
"hepatite a",7,"150%"
"vacinas covid agendamento",7,"-40%"
"vacinas hepatite a",7,"160%"
"marcar vacinas",7,"50%"
"sns24",6,"200%"
"vacinas casa aberta",6,"110%"
"sns24 vacinas",6,"250%"
"casa aberta vacinas",6,"100%"
"vacinas hpv",6,"90%"
"vacinas 1 ano",6,"140%"
"vacinas extra plano",6,"50%"
"marcação vacinas",6,"-30%"
"sns boletim de vacinas",6,"200%"
"vacinas vivas",5,"100%"
"plano de vacinação",5,"-6%"
"vacinas meningite",5,"-7%"
