"Time","vacinas","surto","vírus","sintomas"
"2021-09-01",10,1,1,65
"2021-10-01",7,1,1,67
"2021-11-01",10,1,1,69
"2021-12-01",13,1,1,92
"2022-01-01",15,1,2,91
"2022-02-01",7,1,1,73
"2022-03-01",4,2,1,83
"2022-04-01",4,2,1,80
"2022-05-01",5,1,2,100
"2022-06-01",5,1,1,75
"2022-07-01",4,0,1,72
"2022-08-01",4,1,1,77
"2022-09-01",5,1,1,71
"2022-10-01",5,0,1,70
"2022-11-01",4,1,2,79
"2022-12-01",4,1,2,85
"2023-01-01",4,0,3,78
"2023-02-01",4,1,1,78
"2023-03-01",3,1,2,78
"2023-04-01",3,0,1,78
"2023-05-01",4,1,1,78
"2023-06-01",3,1,1,76
"2023-07-01",3,1,1,79
"2023-08-01",4,1,1,74
"2023-09-01",6,1,1,71
"2023-10-01",5,0,1,68
"2023-11-01",4,1,1,73
"2023-12-01",3,1,2,90
"2024-01-01",4,1,1,83
"2024-02-01",4,1,1,68
"2024-03-01",4,2,1,73
"2024-04-01",4,1,1,67
"2024-05-01",4,1,1,67
"2024-06-01",4,1,1,63
"2024-07-01",4,1,2,63
"2024-08-01",4,1,3,65
"2024-09-01",5,1,1,56
"2024-10-01",5,0,1,60
"2024-11-01",5,1,1,60
"2024-12-01",4,1,1,58
"2025-01-01",4,1,2,60
"2025-02-01",4,1,1,57
"2025-03-01",4,1,1,57
"2025-04-01",4,0,1,54
"2025-05-01",4,0,1,50
"2025-06-01",4,1,1,45
"2025-07-01",4,1,1,44
"2025-08-01",4,1,1,48
"2025-09-01",6,1,1,46
"2025-10-01",5,1,1,47
"2025-11-01",5,1,1,46
"2025-12-01",4,1,1,59
"2026-01-01",4,1,3,46
"2026-02-01",4,1,1,34
"2026-03-01",5,2,1,38
"2026-04-01",4,1,1,36
"2026-05-01",4,2,3,40
"2026-06-01",4,1,1,31
"2026-07-01",4,1,5,31
"2026-08-01",4,1,2,33
"2026-09-01",5,0,1,35
