"Time","vacinas","autismo","sarampo"
"2021-09-01",67,27,5
"2021-10-01",45,30,7
"2021-11-01",69,23,6
"2021-12-01",91,23,6
"2022-01-01",100,19,7
"2022-02-01",47,28,6
"2022-03-01",29,27,8
"2022-04-01",27,36,8
"2022-05-01",33,24,9
"2022-06-01",31,24,9
"2022-07-01",24,27,7
"2022-08-01",25,24,5
"2022-09-01",36,31,6
"2022-10-01",32,32,7
"2022-11-01",30,31,7
"2022-12-01",26,28,8
"2023-01-01",27,28,9
"2023-02-01",24,28,7
"2023-03-01",23,34,8
"2023-04-01",22,36,9
"2023-05-01",25,31,8
"2023-06-01",24,30,10
"2023-07-01",22,27,9
"2023-08-01",25,26,4
"2023-09-01",40,33,5
"2023-10-01",33,28,5
"2023-11-01",26,29,8
"2023-12-01",23,29,7
"2024-01-01",28,31,28
"2024-02-01",27,29,35
"2024-03-01",25,33,24
"2024-04-01",28,40,15
"2024-05-01",30,28,14
"2024-06-01",25,26,12
"2024-07-01",24,25,10
"2024-08-01",25,24,8
"2024-09-01",37,29,5
"2024-10-01",33,28,7
"2024-11-01",32,31,6
"2024-12-01",25,26,7
"2025-01-01",29,32,7
"2025-02-01",26,32,7
"2025-03-01",25,33,14
"2025-04-01",27,37,15
"2025-05-01",28,28,11
"2025-06-01",25,26,10
"2025-07-01",26,24,6
"2025-08-01",24,24,5
"2025-09-01",41,38,5
"2025-10-01",36,32,6
"2025-11-01",35,28,7
"2025-12-01",29,26,6
"2026-01-01",26,27,5
"2026-02-01",27,24,6
"2026-03-01",31,29,6
"2026-04-01",30,32,6
"2026-05-01",25,24,12
"2026-06-01",25,22,7
"2026-07-01",26,33,5
"2026-08-01",29,25,14
"2026-09-01",35,25,15
