Category: Health
"menopausa: (15/09/2021 - 15/09/2026, Portugal)"

TOP
Menopause,100
Hormone,3
Heat,3
Primary ovarian insufficiency,2
Estrogen,2
Estradiol,2
Cláudia Raia,2
Perimenopause,1
Follicle-stimulating hormone,1
Hormone replacement therapy,1
Hormone,1
Theatre,1
Theatre,1
Postmenopause,1
T-shirt,1
Desire,<1
Tivoli,<1
Play,<1
Evening-primroses,<1
Vaginal Moisturiser,<1

RISING
Cláudia Raia,Breakout
Hormone,Breakout
Theatre,Breakout
Postmenopause,Breakout
T-shirt,Breakout
Desire,Breakout
Tivoli,Breakout
Play,Breakout
Evening-primroses,Breakout
Vaginal Moisturiser,Breakout
Primary ovarian insufficiency,"+3,700%"
Theatre,"+1,600%"
Hormone replacement therapy,+350%
Perimenopause,+180%

