"Region","sintomas menopausa","menopausa precoce","idade menopausa","perimenopausa","andropausa"
"Guarda District",77,0,23,0,0
"Portalegre District",64,0,16,0,20
"Bragança District",59,22,0,0,19
"Beja District",55,0,12,13,20
"Vila Real District",48,11,14,14,13
"Évora District",47,8,16,17,12
"Viseu District",46,11,13,15,15
"Aveiro District",46,8,11,16,19
"Viana do Castelo District",45,9,13,13,20
"Castelo Branco District",44,10,14,16,16
"Santarém District",44,7,13,17,19
"Braga",42,8,13,16,21
"Leiria District",42,7,14,18,19
"Madeira",42,6,10,18,24
"Azores",41,11,10,20,18
"Faro District",41,6,13,18,22
"Porto District",39,8,13,19,21
"Setubal",39,8,11,19,23
"Coimbra District",39,6,12,24,19
"Lisbon",35,8,12,23,22
