"Region","menopausa","hormonas","menstruação","ginecologista"
"Lisbon",32,3,35,30
"Coimbra District",30,5,37,28
"Setubal",30,3,39,28
"Faro District",30,3,36,31
"Porto District",30,3,36,31
"Santarém District",30,3,36,31
"Viana do Castelo District",29,3,42,26
"Évora District",29,3,37,31
"Leiria District",28,3,39,30
"Castelo Branco District",27,4,42,27
"Vila Real District",27,4,41,28
"Aveiro District",27,4,40,29
"Guarda District",27,3,45,25
"Beja District",27,3,37,33
"Bragança District",26,5,45,24
"Azores",26,4,48,22
"Portalegre District",26,3,42,29
"Braga",26,3,41,30
"Viseu District",26,3,40,31
"Madeira",25,8,30,37
