"query","search interest","increase percent"
"menopausa dos homens",3,"Breakout"
"lactoflora",3,"Breakout"
"dia mundial da menopausa",2,"Breakout"
"veoza",1,"Breakout"
"implante hormonal menopausa",0,"600%"
"tibolona",4,"250%"
"afax",6,"180%"
"climafort",3,"170%"
"flavia menopausa",3,"100%"
"clima care",6,"100%"
"confidence",3,"80%"
"menopausa nos homens",3,"60%"
"teste de menopausa",4,"60%"
"estradiol na menopausa",5,"50%"
"climacare",27,"50%"
"perimenopausa",14,"50%"
"terapia hormonal menopausa",5,"50%"
"flavia nocta",2,"40%"
"climacare menopausa",27,"40%"
"reposição hormonal na menopausa",6,"40%"
"medicamento para menopausa",9,"40%"
"menopausa masculina",2,"30%"
"isoflavonas de soja",2,"30%"
"peri menopausa",8,"30%"
"suplemento menopausa",22,"30%"
"quais os sintomas da menopausa",3,"30%"
"teste menopausa",9,"20%"
"suplementos para menopausa",10,"20%"
"calores menopausa",18,"20%"
"pos menopausa",16,"20%"
"como emagrecer na menopausa",3,"20%"
"reposição hormonal menopausa",13,"20%"
"progesterona na menopausa",6,"10%"
"ginecologista especialista em menopausa",3,"9%"
"pré menopausa",19,"9%"
"sinais de menopausa",4,"6%"
"estrogenio",8,"5%"
"estradiol",14,"4%"
"estradiol menopausa",13,"2%"
"sintomas da menopausa",39,"-1%"
"sintomas de menopausa",29,"-1%"
"efeitos da menopausa",4,"-1%"
"pre menopausa",32,"-3%"
"sintomas da pré menopausa",3,"-4%"
"ticketline",2,"-5%"
"emagrecer na menopausa",8,"-6%"
"progesterona",11,"-7%"
"andropausa",5,"-8%"
"idade menopausa",31,"-10%"
"menopausa sintomas",100,"-10%"
