"query","search interest","increase percent"
"menopausa sintomas",100,"-10%"
"sintomas menopausa",100,"-10%"
"sintomas da menopausa",39,"-1%"
"pre menopausa",32,"-3%"
"menopausa idade",31,"-10%"
"idade menopausa",31,"-10%"
"sintomas de menopausa",29,"-1%"
"climacare",27,"50%"
"climacare menopausa",27,"40%"
"suplemento menopausa",22,"30%"
"pré menopausa",19,"9%"
"claudia raia menopausa",19,"-50%"
"menopausa claudia raia",19,"-60%"
"calores menopausa",18,"20%"
"teatro menopausa",18,"-40%"
"menopausa teatro",18,"-30%"
"menopausa precoce",16,"-20%"
"pos menopausa",16,"20%"
"estradiol",14,"4%"
"perimenopausa",14,"50%"
"estradiol menopausa",13,"2%"
"reposição hormonal menopausa",13,"20%"
"wells menopausa",11,"-50%"
"progesterona",11,"-7%"
"suplementos para menopausa",10,"20%"
"medicamento para menopausa",9,"40%"
"teste menopausa",9,"20%"
"fsh menopausa",8,"-20%"
"peri menopausa",8,"30%"
"estrogenio",8,"5%"
"emagrecer na menopausa",8,"-6%"
"pre menopausa sintomas",7,"-10%"
"reposição hormonal na menopausa",6,"40%"
"pré menopausa sintomas",6,"-30%"
"idade da menopausa",6,"-30%"
"afax",6,"180%"
"progesterona na menopausa",6,"10%"
"clima care",6,"100%"
"andropausa",5,"-8%"
"estradiol na menopausa",5,"50%"
"terapia hormonal menopausa",5,"50%"
"sintomas pre menopausa",5,"-30%"
"menopausa tivoli",5,"-60%"
"tibolona",4,"250%"
"efeitos da menopausa",4,"-1%"
"teste de menopausa",4,"60%"
"menopausa precoce sintomas",4,"-20%"
"sinais de menopausa",4,"6%"
"ginecologista especialista em menopausa",3,"9%"
"flavia menopausa",3,"100%"
