"Time","menopausa Past year","menopausa Preceding year"
"2025-09-14",55,49
"2025-09-21",48,45
"2025-09-28",61,57
"2025-10-05",60,56
"2025-10-12",61,77
"2025-10-19",68,84
"2025-10-26",58,74
"2025-11-02",46,62
"2025-11-09",44,60
"2025-11-16",47,54
"2025-11-23",39,54
"2025-11-30",48,52
"2025-12-07",48,46
"2025-12-14",45,41
"2025-12-21",38,45
"2025-12-28",34,37
"2026-01-04",45,44
"2026-01-11",57,48
"2026-01-18",58,69
"2026-01-25",65,68
"2026-02-01",63,100
"2026-02-08",51,84
"2026-02-15",69,88
"2026-02-22",73,74
"2026-03-01",62,87
"2026-03-08",58,96
"2026-03-15",56,70
"2026-03-22",55,66
"2026-03-29",50,66
"2026-04-05",50,57
"2026-04-12",55,56
"2026-04-19",65,59
"2026-04-26",67,55
"2026-05-03",57,53
"2026-05-10",56,60
"2026-05-17",53,49
"2026-05-24",48,54
"2026-05-31",51,54
"2026-06-07",49,51
"2026-06-14",58,50
"2026-06-21",49,52
"2026-06-28",52,44
"2026-07-05",58,48
"2026-07-12",60,59
"2026-07-19",60,61
"2026-07-26",57,49
"2026-08-02",64,55
"2026-08-09",60,55
"2026-08-16",65,63
"2026-08-23",68,60
"2026-08-30",59,59
"2026-09-06",66,64
"2026-09-13",64,54
