"Time","menopausa"
"2025-09-14",76
"2025-09-21",67
"2025-09-28",84
"2025-10-05",83
"2025-10-12",84
"2025-10-19",94
"2025-10-26",79
"2025-11-02",64
"2025-11-09",61
"2025-11-16",65
"2025-11-23",54
"2025-11-30",67
"2025-12-07",66
"2025-12-14",61
"2025-12-21",53
"2025-12-28",46
"2026-01-04",63
"2026-01-11",78
"2026-01-18",80
"2026-01-25",90
"2026-02-01",86
"2026-02-08",71
"2026-02-15",95
"2026-02-22",100
"2026-03-01",86
"2026-03-08",80
"2026-03-15",77
"2026-03-22",76
"2026-03-29",68
"2026-04-05",69
"2026-04-12",76
"2026-04-19",89
"2026-04-26",93
"2026-05-03",78
"2026-05-10",78
"2026-05-17",73
"2026-05-24",66
"2026-05-31",70
"2026-06-07",68
"2026-06-14",80
"2026-06-21",67
"2026-06-28",72
"2026-07-05",80
"2026-07-12",82
"2026-07-19",83
"2026-07-26",78
"2026-08-02",88
"2026-08-09",83
"2026-08-16",89
"2026-08-23",94
"2026-08-30",82
"2026-09-06",91
"2026-09-13",89
