"Time","menopausa Past month","menopausa Same period previous year"
"2026-08-20",76,0
"2026-08-21",66,74
"2026-08-22",0,63
"2026-08-23",0,85
"2026-08-24",79,72
"2026-08-25",52,53
"2026-08-26",67,50
"2026-08-27",63,75
"2026-08-28",42,41
"2026-08-29",56,37
"2026-08-30",63,0
"2026-08-31",60,0
"2026-09-01",63,43
"2026-09-02",46,35
"2026-09-03",34,40
"2026-09-04",60,88
"2026-09-05",59,57
"2026-09-06",65,0
"2026-09-07",65,0
"2026-09-08",63,60
"2026-09-09",60,48
"2026-09-10",59,45
"2026-09-11",47,41
"2026-09-12",58,100
"2026-09-13",62,55
"2026-09-14",52,66
"2026-09-15",57,52
"2026-09-16",62,0
"2026-09-17",60,52
"2026-09-18",67,53
