"Time","menopausa Past 5 years","menopausa Preceding five years"
"2021-09-01",61,48
"2021-10-01",55,43
"2021-11-01",40,39
"2021-12-01",29,36
"2022-01-01",31,28
"2022-02-01",36,38
"2022-03-01",41,39
"2022-04-01",37,40
"2022-05-01",43,35
"2022-06-01",39,38
"2022-07-01",46,31
"2022-08-01",54,38
"2022-09-01",63,42
"2022-10-01",63,35
"2022-11-01",47,38
"2022-12-01",41,31
"2023-01-01",44,29
"2023-02-01",45,31
"2023-03-01",46,35
"2023-04-01",50,33
"2023-05-01",57,32
"2023-06-01",57,33
"2023-07-01",54,39
"2023-08-01",57,37
"2023-09-01",61,37
"2023-10-01",67,47
"2023-11-01",49,37
"2023-12-01",40,26
"2024-01-01",46,29
"2024-02-01",48,32
"2024-03-01",49,32
"2024-04-01",53,37
"2024-05-01",59,37
"2024-06-01",52,47
"2024-07-01",61,39
"2024-08-01",63,48
"2024-09-01",59,51
"2024-10-01",85,48
"2024-11-01",62,44
"2024-12-01",51,45
"2025-01-01",77,35
"2025-02-01",100,39
"2025-03-01",87,42
"2025-04-01",65,21
"2025-05-01",62,30
"2025-06-01",57,38
"2025-07-01",62,44
"2025-08-01",70,44
"2025-09-01",68,50
"2025-10-01",75,49
"2025-11-01",53,42
"2025-12-01",52,34
"2026-01-01",61,34
"2026-02-01",76,31
"2026-03-01",69,42
"2026-04-01",64,40
"2026-05-01",64,44
"2026-06-01",58,42
"2026-07-01",66,36
"2026-08-01",77,30
"2026-09-01",78,40
