"Time","menopausa"
"2026-09-11T08:00:00Z",41
"2026-09-11T12:00:00Z",35
"2026-09-11T16:00:00Z",44
"2026-09-11T20:00:00Z",64
"2026-09-12T00:00:00Z",55
"2026-09-12T04:00:00Z",56
"2026-09-12T08:00:00Z",56
"2026-09-12T12:00:00Z",46
"2026-09-12T16:00:00Z",63
"2026-09-12T20:00:00Z",64
"2026-09-13T00:00:00Z",59
"2026-09-13T04:00:00Z",100
"2026-09-13T08:00:00Z",47
"2026-09-13T12:00:00Z",61
"2026-09-13T16:00:00Z",62
"2026-09-13T20:00:00Z",62
"2026-09-14T00:00:00Z",0
"2026-09-14T04:00:00Z",51
"2026-09-14T08:00:00Z",36
"2026-09-14T12:00:00Z",54
"2026-09-14T16:00:00Z",42
"2026-09-14T20:00:00Z",60
"2026-09-15T00:00:00Z",0
"2026-09-15T04:00:00Z",48
"2026-09-15T08:00:00Z",46
"2026-09-15T12:00:00Z",53
"2026-09-15T16:00:00Z",48
"2026-09-15T20:00:00Z",64
"2026-09-16T00:00:00Z",0
"2026-09-16T04:00:00Z",71
"2026-09-16T08:00:00Z",56
"2026-09-16T12:00:00Z",57
"2026-09-16T16:00:00Z",51
"2026-09-16T20:00:00Z",66
"2026-09-17T00:00:00Z",0
"2026-09-17T04:00:00Z",53
"2026-09-17T08:00:00Z",57
"2026-09-17T12:00:00Z",47
"2026-09-17T16:00:00Z",42
"2026-09-17T20:00:00Z",64
"2026-09-18T00:00:00Z",63
"2026-09-18T04:00:00Z",77
"2026-09-18T08:00:00Z",55
