"query","search interest","increase percent"
"confidence",6,"Breakout"
"flavia menopausa",1,"Breakout"
"flavia nocta",1,"Breakout"
"menopausa dos homens",0,"3,900%"
"implante hormonal menopausa",0,"2,700%"
"como emagrecer na menopausa",0,"2,650%"
"peri menopausa",16,"150%"
"menopausa precoce",19,"120%"
"progesterona",11,"120%"
"sintomas pre menopausa",8,"80%"
"medicamento para menopausa",13,"60%"
"suplementos para menopausa",13,"20%"
"suplemento menopausa",29,"20%"
"sintomas de menopausa",35,"20%"
"lactoflora",5,"9%"
"idade menopausa",33,"7%"
"sintomas menopausa",100,"4%"
"estradiol",14,"2%"
"reposição hormonal na menopausa",8,"-1%"
"menopausa sintomas",96,"-2%"
"menopausa idade",32,"-7%"
"climacare",28,"-10%"
"clima care",8,"-10%"
"reposição hormonal menopausa",13,"-10%"
"pos menopausa",16,"-20%"
"sintomas da menopausa",44,"-20%"
"pre menopausa",27,"-20%"
"climacare menopausa",28,"-30%"
"andropausa",5,"-30%"
"emagrecer na menopausa",7,"-50%"
"pré menopausa sintomas",4,"-50%"
"terapia hormonal menopausa",4,"-60%"
"perimenopausa",8,"-60%"
"ginecologista especialista em menopausa",4,"-70%"
"afax",1,"-70%"
"idade da menopausa",1,"-80%"
"menopausa precoce sintomas",0,"-90%"
"sintomas de pré menopausa",0,"-100%"
"cimicifuga racemosa menopausa",0,"-100%"
