"query","search interest","increase percent"
"sintomas menopausa",100,"4%"
"menopausa sintomas",96,"-2%"
"sintomas da menopausa",44,"-20%"
"sintomas de menopausa",35,"20%"
"idade menopausa",33,"7%"
"menopausa idade",32,"-7%"
"suplemento menopausa",29,"20%"
"climacare menopausa",28,"-30%"
"climacare",28,"-10%"
"pre menopausa",27,"-20%"
"menopausa precoce",19,"120%"
"pos menopausa",16,"-20%"
"peri menopausa",16,"150%"
"estradiol",14,"2%"
"suplementos para menopausa",13,"20%"
"medicamento para menopausa",13,"60%"
"reposição hormonal menopausa",13,"-10%"
"progesterona",11,"120%"
"reposição hormonal na menopausa",8,"-1%"
"clima care",8,"-10%"
"perimenopausa",8,"-60%"
"sintomas pre menopausa",8,"80%"
"emagrecer na menopausa",7,"-50%"
"confidence",6,"Breakout"
"andropausa",5,"-30%"
"lactoflora",5,"9%"
"ginecologista especialista em menopausa",4,"-70%"
"terapia hormonal menopausa",4,"-60%"
"pré menopausa sintomas",4,"-50%"
"idade da menopausa",1,"-80%"
"afax",1,"-70%"
"flavia menopausa",1,"Breakout"
"flavia nocta",1,"Breakout"
"menopausa precoce sintomas",0,"-90%"
"menopausa dos homens",0,"3,900%"
"implante hormonal menopausa",0,"2,700%"
"como emagrecer na menopausa",0,"2,650%"
"sintomas de pré menopausa",0,"-100%"
"cimicifuga racemosa menopausa",0,"-100%"
