"Time","menopausa Past 3 months","menopausa Same period previous year"
"2026-06-21",52,64
"2026-06-22",63,73
"2026-06-23",55,49
"2026-06-24",36,41
"2026-06-25",42,34
"2026-06-26",53,43
"2026-06-27",0,44
"2026-06-28",0,0
"2026-06-29",70,0
"2026-06-30",47,46
"2026-07-01",58,38
"2026-07-02",56,0
"2026-07-03",57,0
"2026-07-04",47,53
"2026-07-05",65,0
"2026-07-06",46,56
"2026-07-07",62,73
"2026-07-08",82,58
"2026-07-09",35,83
"2026-07-10",0,40
"2026-07-11",54,0
"2026-07-12",0,0
"2026-07-13",43,68
"2026-07-14",64,48
"2026-07-15",51,55
"2026-07-16",67,68
"2026-07-17",65,49
"2026-07-18",86,50
"2026-07-19",0,55
"2026-07-20",80,50
"2026-07-21",68,36
"2026-07-22",45,50
"2026-07-23",62,48
"2026-07-24",41,68
"2026-07-25",76,37
"2026-07-26",65,0
"2026-07-27",43,65
"2026-07-28",43,45
"2026-07-29",46,94
"2026-07-30",72,60
"2026-07-31",55,42
"2026-08-01",75,51
"2026-08-02",63,0
"2026-08-03",65,0
"2026-08-04",81,61
"2026-08-05",61,36
"2026-08-06",58,58
"2026-08-07",0,76
"2026-08-08",70,0
"2026-08-09",0,62
"2026-08-10",50,0
"2026-08-11",60,54
"2026-08-12",60,74
"2026-08-13",44,55
"2026-08-14",61,66
"2026-08-15",57,93
"2026-08-16",57,72
"2026-08-17",63,82
"2026-08-18",46,63
"2026-08-19",71,79
"2026-08-20",76,0
"2026-08-21",66,74
"2026-08-22",0,63
"2026-08-23",0,85
"2026-08-24",79,72
"2026-08-25",52,53
"2026-08-26",67,50
"2026-08-27",63,75
"2026-08-28",42,41
"2026-08-29",56,37
"2026-08-30",63,0
"2026-08-31",60,0
"2026-09-01",63,43
"2026-09-02",46,35
"2026-09-03",34,40
"2026-09-04",60,88
"2026-09-05",59,57
"2026-09-06",65,0
"2026-09-07",65,0
"2026-09-08",63,60
"2026-09-09",60,48
"2026-09-10",59,45
"2026-09-11",47,41
"2026-09-12",58,100
"2026-09-13",62,55
"2026-09-14",52,66
"2026-09-15",57,52
"2026-09-16",62,0
"2026-09-17",60,52
"2026-09-18",74,53
