"Time","menopausa"
"2026-06-21",61
"2026-06-22",73
"2026-06-23",64
"2026-06-24",42
"2026-06-25",49
"2026-06-26",62
"2026-06-27",0
"2026-06-28",0
"2026-06-29",82
"2026-06-30",55
"2026-07-01",68
"2026-07-02",65
"2026-07-03",67
"2026-07-04",55
"2026-07-05",76
"2026-07-06",54
"2026-07-07",73
"2026-07-08",96
"2026-07-09",41
"2026-07-10",0
"2026-07-11",63
"2026-07-12",0
"2026-07-13",50
"2026-07-14",74
"2026-07-15",60
"2026-07-16",78
"2026-07-17",76
"2026-07-18",100
"2026-07-19",0
"2026-07-20",93
"2026-07-21",79
"2026-07-22",53
"2026-07-23",73
"2026-07-24",48
"2026-07-25",88
"2026-07-26",76
"2026-07-27",50
"2026-07-28",50
"2026-07-29",54
"2026-07-30",84
"2026-07-31",65
"2026-08-01",87
"2026-08-02",73
"2026-08-03",75
"2026-08-04",94
"2026-08-05",71
"2026-08-06",67
"2026-08-07",0
"2026-08-08",81
"2026-08-09",0
"2026-08-10",58
"2026-08-11",70
"2026-08-12",70
"2026-08-13",52
"2026-08-14",71
"2026-08-15",66
"2026-08-16",66
"2026-08-17",73
"2026-08-18",53
"2026-08-19",83
"2026-08-20",89
"2026-08-21",77
"2026-08-22",0
"2026-08-23",0
"2026-08-24",92
"2026-08-25",61
"2026-08-26",78
"2026-08-27",73
"2026-08-28",49
"2026-08-29",65
"2026-08-30",73
"2026-08-31",70
"2026-09-01",73
"2026-09-02",53
"2026-09-03",40
"2026-09-04",69
"2026-09-05",69
"2026-09-06",76
"2026-09-07",75
"2026-09-08",73
"2026-09-09",70
"2026-09-10",69
"2026-09-11",55
"2026-09-12",67
"2026-09-13",73
"2026-09-14",61
"2026-09-15",67
"2026-09-16",73
"2026-09-17",70
"2026-09-18",86
