"query","search interest","increase percent"
"teatro tivoli",4,"Breakout"
"7 anoes da menopausa",3,"Breakout"
"afax",3,"Breakout"
"confidence",2,"Breakout"
"flavia nocta",2,"Breakout"
"peca menopausa claudia raia",1,"Breakout"
"perimenopausa o que é",1,"Breakout"
"sintomas menopáusa precoce",1,"Breakout"
"menopausa claudia raia",37,"800%"
"claudia raia",39,"750%"
"claudia raia menopausa",38,"750%"
"menopausa tivoli",10,"500%"
"menopausa teatro",23,"450%"
"teatro menopausa",23,"400%"
"ticketline",3,"200%"
"magnesio para menopausa",4,"150%"
"perimenopausa sintomas",4,"140%"
"reposição hormonal na menopausa",5,"60%"
"endocrinologista especialista em menopausa",2,"50%"
"ginecologista especialista em menopausa",4,"50%"
"suplemento menopausa",19,"30%"
"menopausia",2,"30%"
"pós menopausa",6,"30%"
"terapia hormonal menopausa",4,"20%"
"pre menopausa sintomas",8,"20%"
"peri menopausa",6,"20%"
"melhor suplemento para menopausa",3,"20%"
"suplemento para menopausa",11,"20%"
"teste menopausa",6,"10%"
"reposição hormonal",11,"10%"
"sintomas de pre menopausa",2,"10%"
"sintomas pre menopausa",8,"10%"
"perimenopausa",9,"10%"
"teste de menopausa",3,"10%"
"menopausa dos homens",2,"9%"
"sintomas de pré menopausa",4,"8%"
"estradiol menopausa",15,"7%"
"sinais de menopausa",4,"6%"
"clima care",3,"6%"
"estradiol",15,"5%"
"suplementos para menopausa",8,"5%"
"pre menopausa",32,"4%"
"climatério e menopausa",2,"4%"
"pos menopausa",13,"4%"
"emagrecer na menopausa",9,"0%"
"idade da menopausa",8,"-1%"
"climacare menopausa",18,"-4%"
"dia mundial da menopausa",1,"-4%"
"progesterona na menopausa",6,"-4%"
"climacare",19,"-6%"
