"query","search interest","increase percent"
"sintomas menopausa",100,"-30%"
"menopausa sintomas",100,"-30%"
"claudia raia",39,"750%"
"claudia raia menopausa",38,"750%"
"menopausa claudia raia",37,"800%"
"sintomas da menopausa",36,"-10%"
"pre menopausa",32,"4%"
"menopausa idade",32,"-30%"
"idade menopausa",31,"-30%"
"sintomas de menopausa",26,"-40%"
"teatro menopausa",23,"400%"
"menopausa teatro",23,"450%"
"climacare",19,"-6%"
"suplemento menopausa",19,"30%"
"climacare menopausa",18,"-4%"
"menopausa precoce",18,"-40%"
"pré menopausa",17,"-40%"
"wells menopausa",15,"-20%"
"estradiol menopausa",15,"7%"
"estradiol",15,"5%"
"pos menopausa",13,"4%"
"calores menopausa",12,"-40%"
"progesterona",12,"-10%"
"fsh menopausa",11,"-6%"
"reposição hormonal",11,"10%"
"suplemento para menopausa",11,"20%"
"menopausa tivoli",10,"500%"
"perimenopausa",9,"10%"
"emagrecer na menopausa",9,"0%"
"sintomas pre menopausa",8,"10%"
"pre menopausa sintomas",8,"20%"
"idade da menopausa",8,"-1%"
"suplementos para menopausa",8,"5%"
"estrogenio",7,"-20%"
"estrogênio",7,"-30%"
"sintomas pré menopausa",7,"-60%"
"peri menopausa",6,"20%"
"progesterona na menopausa",6,"-4%"
"pré menopausa sintomas",6,"-60%"
"teste menopausa",6,"10%"
"pós menopausa",6,"30%"
"reposição hormonal na menopausa",5,"60%"
"menopause",5,"-20%"
"menopausa precoce sintomas",5,"-10%"
"sintomas menopausa idade",5,"-20%"
"terapia hormonal menopausa",4,"20%"
"andropausa",4,"-40%"
"teatro tivoli",4,"Breakout"
"sinais de menopausa",4,"6%"
"ginecologista especialista em menopausa",4,"50%"
