"Time","menopausa 2025","menopausa 2024"
"2024-12-29",44,31
"2025-01-05",48,35
"2025-01-12",69,38
"2025-01-19",68,45
"2025-01-26",100,40
"2025-02-02",84,36
"2025-02-09",88,35
"2025-02-16",74,45
"2025-02-23",87,39
"2025-03-02",96,41
"2025-03-09",70,43
"2025-03-16",66,42
"2025-03-23",66,47
"2025-03-30",57,49
"2025-04-06",56,44
"2025-04-13",59,48
"2025-04-20",55,48
"2025-04-27",53,45
"2025-05-04",60,53
"2025-05-11",49,51
"2025-05-18",54,52
"2025-05-25",54,49
"2025-06-01",51,57
"2025-06-08",50,43
"2025-06-15",52,42
"2025-06-22",44,42
"2025-06-29",48,50
"2025-07-06",59,52
"2025-07-13",61,55
"2025-07-20",49,51
"2025-07-27",55,52
"2025-08-03",55,54
"2025-08-10",63,62
"2025-08-17",60,55
"2025-08-24",59,56
"2025-08-31",64,47
"2025-09-07",54,51
"2025-09-14",55,49
"2025-09-21",48,45
"2025-09-28",61,57
"2025-10-05",60,56
"2025-10-12",61,77
"2025-10-19",68,84
"2025-10-26",58,74
"2025-11-02",46,62
"2025-11-09",44,60
"2025-11-16",47,54
"2025-11-23",39,54
"2025-11-30",48,52
"2025-12-07",48,46
"2025-12-14",45,41
"2025-12-21",38,45
"2025-12-28",34,37
