"query","search interest","increase percent"
"claudia raia menopausa",9,"Breakout"
"claudia raia",9,"Breakout"
"menopausa claudia raia",9,"Breakout"
"menopausa teatro",6,"Breakout"
"teatro menopausa",6,"Breakout"
"menopausa tivoli",2,"Breakout"
"76 sintomas da menopausa",2,"Breakout"
"descomplicar a menopausa",1,"Breakout"
"t shirt menopausa",1,"Breakout"
"efeitos da menopausa no corpo",1,"Breakout"
"ticketline",1,"Breakout"
"7 anoes da menopausa",0,"Breakout"
"idade da menopausa feminina",0,"4,150%"
"climacare menopausa",12,"2,050%"
"climacare",12,"1,900%"
"wells menopausa",8,"650%"
"melhor suplemento para menopausa",2,"600%"
"clima care",2,"550%"
"ginecologista especialista em menopausa",2,"400%"
"peri menopausa",3,"300%"
"perimenopausa sintomas",1,"250%"
"reposição hormonal na menopausa",3,"250%"
"reposição hormonal menopausa",7,"170%"
"reposição hormonal",7,"170%"
"perimenopausa",5,"150%"
"suplemento menopausa",10,"140%"
"estrogênio",5,"130%"
"camisola menopausa",1,"120%"
"sinais de menopausa precoce",1,"100%"
"suplementos para menopausa",5,"100%"
"barriga inchada na menopausa",1,"100%"
"progesterona na menopausa",4,"100%"
"vitaminas para menopausa",2,"100%"
"sintomas de menopausa aos 40",1,"90%"
"menopausa o que é",12,"70%"
"terapia hormonal menopausa",3,"70%"
"dia da menopausa",2,"60%"
"menopausa precoce idade",2,"60%"
"vichy menopausa",1,"50%"
"estradiol na menopausa",3,"50%"
"sintomas da menopausa aos 50",1,"40%"
"menopausa idade normal",1,"40%"
"progesterona",7,"40%"
"secura vaginal",3,"30%"
"emagrecer na menopausa",6,"30%"
"teste menopausa",4,"30%"
"sinais da menopausa",2,"30%"
"menopausa sintomas idade",5,"30%"
"climatério e menopausa",1,"30%"
"sintomas menopausa idade",5,"30%"
