"query","search interest","increase percent"
"menopausa sintomas",100,"-20%"
"sintomas menopausa",99,"-20%"
"sintomas da menopausa",27,"-30%"
"idade menopausa",27,"-10%"
"menopausa idade",27,"-10%"
"sintomas de menopausa",24,"-30%"
"menopausa precoce",18,"-40%"
"pre menopausa",18,"-10%"
"pré menopausa",18,"-10%"
"calores menopausa",12,"-7%"
"menopausa o que é",12,"70%"
"climacare menopausa",12,"2,050%"
"climacare",12,"1,900%"
"suplemento menopausa",10,"140%"
"pos menopausa",9,"-4%"
"estradiol",9,"20%"
"estradiol menopausa",9,"20%"
"claudia raia menopausa",9,"Breakout"
"claudia raia",9,"Breakout"
"menopausa claudia raia",9,"Breakout"
"pré menopausa sintomas",8,"-20%"
"sintomas pré menopausa",8,"-20%"
"fsh",8,"-2%"
"fsh menopausa",8,"-4%"
"wells menopausa",8,"650%"
"reposição hormonal menopausa",7,"170%"
"reposição hormonal",7,"170%"
"progesterona",7,"40%"
"menopausa teatro",6,"Breakout"
"sinais menopausa",6,"-1%"
"teatro menopausa",6,"Breakout"
"emagrecer na menopausa",6,"30%"
"idade da menopausa",6,"-7%"
"perimenopausa",5,"150%"
"menopausa precoce sintomas",5,"-40%"
"suplementos para menopausa",5,"100%"
"menstruação na menopausa",5,"20%"
"estrogenio",5,"8%"
"estrogênio",5,"130%"
"menopausa sintomas idade",5,"30%"
"sintomas menopausa idade",5,"30%"
"sintomas pre menopausa",5,"-40%"
"pre menopausa sintomas",5,"-40%"
"corrimento na menopausa",5,"10%"
"pós menopausa",4,"10%"
"andropausa",4,"-20%"
"teste menopausa",4,"30%"
"menopause",4,"4%"
"efeitos da menopausa",4,"-20%"
"progesterona na menopausa",4,"100%"
