"Time","sintomas menopausa"
"2021-09-01",80
"2021-10-01",54
"2021-11-01",42
"2021-12-01",33
"2022-01-01",34
"2022-02-01",41
"2022-03-01",54
"2022-04-01",43
"2022-05-01",51
"2022-06-01",54
"2022-07-01",59
"2022-08-01",79
"2022-09-01",100
"2022-10-01",62
"2022-11-01",60
"2022-12-01",45
"2023-01-01",55
"2023-02-01",41
"2023-03-01",55
"2023-04-01",64
"2023-05-01",63
"2023-06-01",65
"2023-07-01",69
"2023-08-01",83
"2023-09-01",70
"2023-10-01",78
"2023-11-01",59
"2023-12-01",43
"2024-01-01",51
"2024-02-01",50
"2024-03-01",50
"2024-04-01",54
"2024-05-01",58
"2024-06-01",48
"2024-07-01",48
"2024-08-01",60
"2024-09-01",48
"2024-10-01",94
"2024-11-01",50
"2024-12-01",22
"2025-01-01",41
"2025-02-01",50
"2025-03-01",56
"2025-04-01",45
"2025-05-01",45
"2025-06-01",35
"2025-07-01",44
"2025-08-01",51
"2025-09-01",57
"2025-10-01",50
"2025-11-01",37
"2025-12-01",29
"2026-01-01",38
"2026-02-01",37
"2026-03-01",35
"2026-04-01",32
"2026-05-01",30
"2026-06-01",32
"2026-07-01",39
"2026-08-01",37
"2026-09-01",33
