"Time","sintomas menopausa","menopausa precoce","idade menopausa","perimenopausa","andropausa"
"2021-09-01",80,14,19,0,34
"2021-10-01",54,0,12,0,21
"2021-11-01",42,13,12,0,14
"2021-12-01",33,0,0,0,27
"2022-01-01",34,0,0,0,12
"2022-02-01",41,0,13,9,16
"2022-03-01",54,10,13,7,19
"2022-04-01",43,14,12,0,11
"2022-05-01",51,10,12,8,20
"2022-06-01",54,9,14,7,24
"2022-07-01",59,15,15,0,21
"2022-08-01",79,14,20,0,34
"2022-09-01",100,17,22,10,53
"2022-10-01",62,13,22,12,31
"2022-11-01",60,12,16,8,27
"2022-12-01",45,9,23,0,21
"2023-01-01",55,9,21,9,18
"2023-02-01",41,11,12,0,19
"2023-03-01",55,16,15,14,53
"2023-04-01",64,11,22,13,32
"2023-05-01",63,14,25,11,29
"2023-06-01",65,15,17,10,39
"2023-07-01",69,16,18,18,36
"2023-08-01",83,12,16,15,37
"2023-09-01",70,19,28,11,44
"2023-10-01",78,14,23,17,41
"2023-11-01",59,16,14,10,28
"2023-12-01",43,0,15,10,22
"2024-01-01",51,10,14,10,22
"2024-02-01",50,10,12,9,15
"2024-03-01",50,13,22,17,18
"2024-04-01",54,0,14,14,15
"2024-05-01",58,10,15,16,18
"2024-06-01",48,9,13,15,23
"2024-07-01",48,17,20,27,29
"2024-08-01",60,16,26,25,35
"2024-09-01",48,9,16,26,28
"2024-10-01",94,12,26,35,40
"2024-11-01",50,9,19,22,29
"2024-12-01",22,0,10,33,20
"2025-01-01",41,0,12,26,26
"2025-02-01",50,0,21,27,22
"2025-03-01",56,0,12,38,26
"2025-04-01",45,9,11,48,30
"2025-05-01",45,11,8,34,16
"2025-06-01",35,0,17,36,21
"2025-07-01",44,0,12,56,28
"2025-08-01",51,0,13,42,34
"2025-09-01",57,0,9,48,29
"2025-10-01",50,0,14,64,33
"2025-11-01",37,0,14,30,30
"2025-12-01",29,0,0,41,20
"2026-01-01",38,0,17,58,20
"2026-02-01",37,0,0,47,21
"2026-03-01",35,0,12,51,25
"2026-04-01",32,0,11,50,25
"2026-05-01",30,0,0,61,14
"2026-06-01",32,0,0,53,18
"2026-07-01",39,8,0,56,23
"2026-08-01",37,0,16,83,34
"2026-09-01",33,4,11,97,24
