"Time","menopausa","hormonas","menstruação","ginecologista"
"2021-09-01",60,4,73,63
"2021-10-01",55,4,78,60
"2021-11-01",39,7,70,54
"2021-12-01",29,6,65,44
"2022-01-01",31,6,56,44
"2022-02-01",36,7,74,54
"2022-03-01",40,6,75,64
"2022-04-01",36,9,73,56
"2022-05-01",43,8,84,52
"2022-06-01",38,6,80,51
"2022-07-01",45,4,97,55
"2022-08-01",54,4,100,60
"2022-09-01",62,5,96,56
"2022-10-01",62,8,87,57
"2022-11-01",46,8,76,54
"2022-12-01",41,7,77,47
"2023-01-01",43,7,82,60
"2023-02-01",45,4,80,50
"2023-03-01",46,7,82,57
"2023-04-01",50,6,86,49
"2023-05-01",57,8,80,52
"2023-06-01",57,7,83,53
"2023-07-01",53,5,92,54
"2023-08-01",56,4,87,55
"2023-09-01",61,4,84,56
"2023-10-01",66,8,79,57
"2023-11-01",49,7,81,53
"2023-12-01",40,6,78,44
"2024-01-01",45,6,76,61
"2024-02-01",48,5,74,53
"2024-03-01",49,7,68,55
"2024-04-01",53,6,74,55
"2024-05-01",59,8,70,52
"2024-06-01",51,9,76,53
"2024-07-01",60,6,74,56
"2024-08-01",62,5,84,58
"2024-09-01",59,4,66,57
"2024-10-01",84,6,69,59
"2024-11-01",61,7,65,58
"2024-12-01",50,7,64,54
"2025-01-01",76,5,62,62
"2025-02-01",99,6,66,55
"2025-03-01",86,5,62,56
"2025-04-01",64,6,62,65
"2025-05-01",62,6,60,58
"2025-06-01",57,7,59,61
"2025-07-01",61,4,62,68
"2025-08-01",69,4,70,67
"2025-09-01",68,5,61,69
"2025-10-01",74,7,55,66
"2025-11-01",52,6,52,55
"2025-12-01",51,7,59,51
"2026-01-01",61,6,52,64
"2026-02-01",75,5,50,60
"2026-03-01",68,7,56,71
"2026-04-01",63,7,48,64
"2026-05-01",64,5,49,57
"2026-06-01",57,6,49,61
"2026-07-01",66,4,50,63
"2026-08-01",76,4,55,59
"2026-09-01",76,4,51,69
