Category: Health

Week,ansiedade: (Portugal)
2021-09-12,81
2021-09-19,90
2021-09-26,71
2021-10-03,73
2021-10-10,79
2021-10-17,80
2021-10-24,74
2021-10-31,67
2021-11-07,75
2021-11-14,76
2021-11-21,69
2021-11-28,67
2021-12-05,76
2021-12-12,81
2021-12-19,63
2021-12-26,72
2022-01-02,82
2022-01-09,87
2022-01-16,86
2022-01-23,88
2022-01-30,78
2022-02-06,79
2022-02-13,88
2022-02-20,86
2022-02-27,81
2022-03-06,82
2022-03-13,85
2022-03-20,85
2022-03-27,84
2022-04-03,78
2022-04-10,75
2022-04-17,77
2022-04-24,76
2022-05-01,76
2022-05-08,87
2022-05-15,81
2022-05-22,82
2022-05-29,76
2022-06-05,75
2022-06-12,79
2022-06-19,92
2022-06-26,100
2022-07-03,76
2022-07-10,75
2022-07-17,80
2022-07-24,79
2022-07-31,75
2022-08-07,78
2022-08-14,79
2022-08-21,74
2022-08-28,79
2022-09-04,93
2022-09-11,84
2022-09-18,86
2022-09-25,79
2022-10-02,80
2022-10-09,93
2022-10-16,77
2022-10-23,87
2022-10-30,74
2022-11-06,85
2022-11-13,79
2022-11-20,73
2022-11-27,72
2022-12-04,70
2022-12-11,91
2022-12-18,67
2022-12-25,61
2023-01-01,96
2023-01-08,89
2023-01-15,85
2023-01-22,84
2023-01-29,82
2023-02-05,76
2023-02-12,82
2023-02-19,83
2023-02-26,79
2023-03-05,78
2023-03-12,94
2023-03-19,79
2023-03-26,85
2023-04-02,76
2023-04-09,85
2023-04-16,80
2023-04-23,80
2023-04-30,79
2023-05-07,77
2023-05-14,84
2023-05-21,76
2023-05-28,79
2023-06-04,90
2023-06-11,82
2023-06-18,81
2023-06-25,75
2023-07-02,83
2023-07-09,81
2023-07-16,76
2023-07-23,72
2023-07-30,69
2023-08-06,70
2023-08-13,66
2023-08-20,77
2023-08-27,74
2023-09-03,80
2023-09-10,82
2023-09-17,84
2023-09-24,84
2023-10-01,87
2023-10-08,82
2023-10-15,79
2023-10-22,72
2023-10-29,78
2023-11-05,78
2023-11-12,85
2023-11-19,86
2023-11-26,77
2023-12-03,80
2023-12-10,76
2023-12-17,66
2023-12-24,63
2023-12-31,78
2024-01-07,77
2024-01-14,82
2024-01-21,86
2024-01-28,73
2024-02-04,68
2024-02-11,70
2024-02-18,71
2024-02-25,69
2024-03-03,69
2024-03-10,68
2024-03-17,64
2024-03-24,59
2024-03-31,68
2024-04-07,68
2024-04-14,74
2024-04-21,69
2024-04-28,66
2024-05-05,65
2024-05-12,73
2024-05-19,72
2024-05-26,73
2024-06-02,71
2024-06-09,74
2024-06-16,72
2024-06-23,72
2024-06-30,80
2024-07-07,88
2024-07-14,78
2024-07-21,88
2024-07-28,74
2024-08-04,72
2024-08-11,69
2024-08-18,69
2024-08-25,73
2024-09-01,69
2024-09-08,76
2024-09-15,75
2024-09-22,81
2024-09-29,71
2024-10-06,80
2024-10-13,81
2024-10-20,80
2024-10-27,75
2024-11-03,79
2024-11-10,74
2024-11-17,80
2024-11-24,67
2024-12-01,67
2024-12-08,63
2024-12-15,55
2024-12-22,45
2024-12-29,61
2025-01-05,69
2025-01-12,68
2025-01-19,76
2025-01-26,60
2025-02-02,60
2025-02-09,60
2025-02-16,68
2025-02-23,61
2025-03-02,65
2025-03-09,68
2025-03-16,58
2025-03-23,62
2025-03-30,57
2025-04-06,62
2025-04-13,55
2025-04-20,54
2025-04-27,64
2025-05-04,64
2025-05-11,61
2025-05-18,61
2025-05-25,64
2025-06-01,54
2025-06-08,58
2025-06-15,55
2025-06-22,52
2025-06-29,52
2025-07-06,46
2025-07-13,45
2025-07-20,49
2025-07-27,51
2025-08-03,46
2025-08-10,53
2025-08-17,52
2025-08-24,49
2025-08-31,54
2025-09-07,63
2025-09-14,60
2025-09-21,53
2025-09-28,56
2025-10-05,57
2025-10-12,57
2025-10-19,58
2025-10-26,58
2025-11-02,59
2025-11-09,59
2025-11-16,52
2025-11-23,56
2025-11-30,59
2025-12-07,55
2025-12-14,53
2025-12-21,41
2025-12-28,48
2026-01-04,48
2026-01-11,69
2026-01-18,55
2026-01-25,52
2026-02-01,49
2026-02-08,50
2026-02-15,56
2026-02-22,56
2026-03-01,55
2026-03-08,60
2026-03-15,56
2026-03-22,59
2026-03-29,47
2026-04-05,53
2026-04-12,54
2026-04-19,57
2026-04-26,55
2026-05-03,47
2026-05-10,59
2026-05-17,59
2026-05-24,51
2026-05-31,45
2026-06-07,49
2026-06-14,52
2026-06-21,41
2026-06-28,43
2026-07-05,46
2026-07-12,58
2026-07-19,53
2026-07-26,46
2026-08-02,51
2026-08-09,53
2026-08-16,48
2026-08-23,51
2026-08-30,59
2026-09-06,58
2026-09-13,51
