"Region","ansiedade","ataque de pânico","psicólogo","psiquiatra","burnout"
"Castelo Branco District",71,1,2,15,11
"Guarda District",71,0,0,18,11
"Portalegre District",70,2,2,17,9
"Faro District",70,2,1,15,12
"Azores",70,2,1,15,12
"Setubal",70,1,2,16,11
"Leiria District",70,1,2,15,12
"Aveiro District",70,1,1,18,10
"Coimbra District",70,1,1,16,12
"Évora District",69,2,2,18,9
"Bragança District",69,2,2,16,11
"Vila Real District",68,2,1,18,11
"Beja District",68,2,0,19,11
"Viana do Castelo District",68,1,2,18,11
"Santarém District",67,2,1,18,12
"Braga",67,1,2,19,11
"Viseu District",67,1,2,19,11
"Porto District",66,1,1,22,10
"Lisbon",66,1,1,20,12
"Madeira",46,1,7,31,15
