"Time","ansiedade","ataque de pânico","psicólogo","psiquiatra","burnout"
"2021-09-01",96,0,3,24,12
"2021-10-01",86,0,1,22,15
"2021-11-01",75,0,1,22,11
"2021-12-01",72,0,0,17,10
"2022-01-01",76,0,2,17,10
"2022-02-01",86,1,2,22,10
"2022-03-01",93,2,1,21,12
"2022-04-01",88,1,2,20,14
"2022-05-01",85,1,2,21,14
"2022-06-01",92,1,2,20,22
"2022-07-01",87,0,1,22,20
"2022-08-01",93,0,2,23,13
"2022-09-01",100,2,2,23,11
"2022-10-01",92,1,2,21,23
"2022-11-01",90,1,2,22,15
"2022-12-01",86,2,1,20,13
"2023-01-01",94,3,2,23,14
"2023-02-01",87,2,1,22,16
"2023-03-01",88,3,2,23,14
"2023-04-01",90,2,2,21,11
"2023-05-01",86,2,2,23,17
"2023-06-01",89,2,0,21,15
"2023-07-01",87,1,2,23,14
"2023-08-01",85,2,2,20,11
"2023-09-01",94,2,2,23,15
"2023-10-01",91,1,1,24,16
"2023-11-01",90,2,2,22,13
"2023-12-01",82,2,1,20,18
"2024-01-01",85,1,2,23,12
"2024-02-01",75,1,2,24,12
"2024-03-01",72,2,1,20,11
"2024-04-01",74,1,2,22,12
"2024-05-01",74,1,2,20,12
"2024-06-01",76,2,1,26,13
"2024-07-01",89,2,2,23,15
"2024-08-01",81,2,1,20,14
"2024-09-01",83,1,1,24,13
"2024-10-01",85,2,2,25,15
"2024-11-01",79,2,2,23,15
"2024-12-01",65,1,1,20,11
"2025-01-01",71,1,2,22,13
"2025-02-01",65,1,2,23,11
"2025-03-01",67,2,1,21,12
"2025-04-01",63,1,0,22,13
"2025-05-01",67,1,1,21,13
"2025-06-01",59,0,0,21,12
"2025-07-01",54,0,2,23,9
"2025-08-01",61,0,1,24,10
"2025-09-01",67,1,2,24,10
"2025-10-01",63,1,2,27,15
"2025-11-01",66,0,2,24,13
"2025-12-01",60,0,2,23,10
"2026-01-01",60,0,2,25,11
"2026-02-01",62,0,2,26,17
"2026-03-01",60,0,1,25,11
"2026-04-01",58,0,2,24,12
"2026-05-01",57,0,2,24,13
"2026-06-01",55,0,2,24,11
"2026-07-01",56,0,2,24,13
"2026-08-01",59,0,3,23,13
"2026-09-01",65,1,2,28,11
