"Time","ansiedade","stress","burnout","pânico","tristeza"
"2021-09-01",96,27,12,2,2
"2021-10-01",86,31,15,2,0
"2021-11-01",75,29,11,2,1
"2021-12-01",72,24,10,2,1
"2022-01-01",76,24,10,2,1
"2022-02-01",86,29,10,3,1
"2022-03-01",93,28,12,3,1
"2022-04-01",88,30,14,2,2
"2022-05-01",85,27,14,3,1
"2022-06-01",92,29,22,3,1
"2022-07-01",87,27,20,2,1
"2022-08-01",93,22,13,3,2
"2022-09-01",100,25,11,2,2
"2022-10-01",92,27,23,3,1
"2022-11-01",90,28,15,3,1
"2022-12-01",86,24,13,4,0
"2023-01-01",94,26,14,4,2
"2023-02-01",87,26,16,3,2
"2023-03-01",88,26,14,4,1
"2023-04-01",90,24,11,4,1
"2023-05-01",86,28,17,4,1
"2023-06-01",89,28,15,3,1
"2023-07-01",87,25,14,3,1
"2023-08-01",85,25,11,4,1
"2023-09-01",94,26,15,4,2
"2023-10-01",91,28,16,3,2
"2023-11-01",90,29,13,3,1
"2023-12-01",82,25,18,3,2
"2024-01-01",85,27,12,3,2
"2024-02-01",75,27,12,3,1
"2024-03-01",72,28,11,3,1
"2024-04-01",74,28,12,3,0
"2024-05-01",74,27,12,3,1
"2024-06-01",76,27,13,4,1
"2024-07-01",89,28,15,3,2
"2024-08-01",81,26,14,4,2
"2024-09-01",83,28,13,2,1
"2024-10-01",85,29,15,3,2
"2024-11-01",79,33,15,4,1
"2024-12-01",65,28,11,2,0
"2025-01-01",71,28,13,3,2
"2025-02-01",65,28,11,2,0
"2025-03-01",67,26,12,3,1
"2025-04-01",63,28,13,2,2
"2025-05-01",67,26,13,2,0
"2025-06-01",59,27,12,3,0
"2025-07-01",54,26,9,2,0
"2025-08-01",61,23,10,2,0
"2025-09-01",67,27,10,3,1
"2025-10-01",63,30,15,4,1
"2025-11-01",66,32,13,2,1
"2025-12-01",60,32,10,2,1
"2026-01-01",60,34,11,2,1
"2026-02-01",62,54,17,3,1
"2026-03-01",60,41,11,3,2
"2026-04-01",58,38,12,2,0
"2026-05-01",57,35,13,2,2
"2026-06-01",55,33,11,3,0
"2026-07-01",56,55,13,6,0
"2026-08-01",59,29,13,3,1
"2026-09-01",65,34,11,2,1
